[(-14290, 6929, -4426), (-158, 142, -31)]
[(-14274, 6948, -4388), (-73, -6, 49)]
[(-14274, 6948, -4388), (-73, -6, 49)]
[(-14274, 6948, -4388), (-73, -6, 49)]
[(-14297, 6982, -4337), (26, -228, 182)]
[(-14297, 6982, -4337), (26, -228, 182)]
[(-14297, 6982, -4337), (26, -228, 182)]
[(-14297, 6982, -4337), (26, -228, 182)]
[(-14297, 6982, -4337), (26, -228, 182)]
[(-14281, 7010, -4312), (46, -184, 195)]
[(-14281, 7010, -4312), (46, -184, 195)]
[(-14281, 7010, -4312), (46, -184, 195)]
[(-14281, 7010, -4312), (46, -184, 195)]
[(-14281, 7010, -4312), (46, -184, 195)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14264, 7043, -4261), (20, -53, 143)]
[(-14255, 7045, -4269), (2, -39, 127)]
[(-14255, 7045, -4269), (2, -39, 127)]
[(-14255, 7045, -4269), (2, -39, 127)]
[(-14255, 7045, -4269), (2, -39, 127)]
[(-14255, 7045, -4269), (2, -39, 127)]
[(-14263, 7039, -4241), (-8, 26, 87)]
[(-14263, 7039, -4241), (-8, 26, 87)]
[(-14263, 7039, -4241), (-8, 26, 87)]
[(-14263, 7039, -4241), (-8, 26, 87)]
[(-14263, 7039, -4241), (-8, 26, 87)]
[(-14263, 7039, -4241), (-8, 26, 87)]
[(-14292, 7032, -4240), (-33, 33, 94)]
[(-14292, 7032, -4240), (-33, 33, 94)]
[(-14292, 7032, -4240), (-33, 33, 94)]
[(-14292, 7032, -4240), (-33, 33, 94)]
[(-14292, 7032, -4240), (-33, 33, 94)]
[(-14274, 7053, -4235), (-58, 88, 73)]
[(-14274, 7053, -4235), (-58, 88, 73)]
[(-14274, 7053, -4235), (-58, 88, 73)]
[(-14274, 7053, -4235), (-58, 88, 73)]
[(-14274, 7053, -4235), (-58, 88, 73)]
[(-14274, 7053, -4235), (-58, 88, 73)]
[(-14274, 7053, -4235), (-58, 88, 73)]
[(-14269, 7056, -4207), (-95, 108, 39)]
[(-14269, 7056, -4207), (-95, 108, 39)]
[(-14269, 7056, -4207), (-95, 108, 39)]
[(-14269, 7056, -4207), (-95, 108, 39)]
[(-14268, 7085, -4198), (-77, 106, 36)]
[(-14268, 7085, -4198), (-77, 106, 36)]
[(-14268, 7085, -4198), (-77, 106, 36)]
[(-14268, 7085, -4198), (-77, 106, 36)]
[(-14268, 7085, -4198), (-77, 106, 36)]
[(-14268, 7085, -4198), (-77, 106, 36)]
[(-14256, 7088, -4153), (-58, 137, 32)]
[(-14256, 7088, -4153), (-58, 137, 32)]
[(-14256, 7088, -4153), (-58, 137, 32)]
[(-14256, 7088, -4153), (-58, 137, 32)]
[(-14256, 7088, -4153), (-58, 137, 32)]
[(-14256, 7088, -4153), (-58, 137, 32)]
[(-14256, 7088, -4153), (-58, 137, 32)]
[(-14269, 7098, -4176), (-41, 148, 24)]
[(-14269, 7098, -4176), (-41, 148, 24)]
[(-14269, 7098, -4176), (-41, 148, 24)]
[(-14269, 7098, -4176), (-41, 148, 24)]
[(-14269, 7098, -4176), (-41, 148, 24)]
[(-14269, 7098, -4176), (-41, 148, 24)]
[(-14268, 7107, -4184), (-60, 153, 18)]
[(-14268, 7107, -4184), (-60, 153, 18)]
[(-14268, 7107, -4184), (-60, 153, 18)]
[(-14268, 7107, -4184), (-60, 153, 18)]
[(-14268, 7107, -4184), (-60, 153, 18)]
