[(-15750, -2437, -3326), (-112, 176, 29)]
[(-15750, -2437, -3326), (-112, 176, 29)]
[(-15750, -2437, -3326), (-112, 176, 29)]
[(-15750, -2437, -3326), (-112, 176, 29)]
[(-15750, -2437, -3326), (-112, 176, 29)]
[(-15750, -2437, -3326), (-112, 176, 29)]
[(-15750, -2437, -3326), (-112, 176, 29)]
[(-15750, -2475, -3245), (-280, 79, -77)]
[(-15750, -2475, -3245), (-280, 79, -77)]
[(-15750, -2475, -3245), (-280, 79, -77)]
[(-15750, -2475, -3245), (-280, 79, -77)]
[(-15750, -2475, -3245), (-280, 79, -77)]
[(-15750, -2475, -3245), (-280, 79, -77)]
[(-15789, -2525, -3234), (-166, 93, -59)]
[(-15789, -2525, -3234), (-166, 93, -59)]
[(-15789, -2525, -3234), (-166, 93, -59)]
[(-15789, -2525, -3234), (-166, 93, -59)]
[(-15789, -2525, -3234), (-166, 93, -59)]
[(-15780, -2505, -3204), (-148, 13, 17)]
[(-15780, -2505, -3204), (-148, 13, 17)]
[(-15780, -2505, -3204), (-148, 13, 17)]
[(-15780, -2505, -3204), (-148, 13, 17)]
[(-15780, -2505, -3204), (-148, 13, 17)]
[(-15784, -2501, -3179), (-4, 97, 24)]
[(-15784, -2501, -3179), (-4, 97, 24)]
