[(-15713, -2380, -3480), (-84, 225, -11)]
[(-15713, -2380, -3480), (-84, 225, -11)]
[(-15713, -2380, -3480), (-84, 225, -11)]
[(-15713, -2380, -3480), (-84, 225, -11)]
[(-15733, -2353, -3518), (34, 213, 15)]
[(-15733, -2353, -3518), (34, 213, 15)]
[(-15733, -2353, -3518), (34, 213, 15)]
[(-15733, -2353, -3518), (34, 213, 15)]
[(-15733, -2353, -3518), (34, 213, 15)]
[(-15733, -2353, -3518), (34, 213, 15)]
[(-15733, -2353, -3518), (34, 213, 15)]
[(-15744, -2364, -3440), (466, 117, 59)]
[(-15744, -2364, -3440), (466, 117, 59)]
[(-15744, -2364, -3440), (466, 117, 59)]
[(-15744, -2364, -3440), (466, 117, 59)]
[(-15718, -2328, -3436), (664, -3, 100)]
[(-15718, -2328, -3436), (664, -3, 100)]
[(-15718, -2328, -3436), (664, -3, 100)]
[(-15718, -2328, -3436), (664, -3, 100)]
[(-15718, -2328, -3436), (664, -3, 100)]
[(-15718, -2328, -3436), (664, -3, 100)]
[(-15718, -2328, -3436), (664, -3, 100)]
[(-15691, -2334, -3421), (503, 20, 62)]
[(-15691, -2334, -3421), (503, 20, 62)]
[(-15691, -2334, -3421), (503, 20, 62)]
[(-15691, -2334, -3421), (503, 20, 62)]
[(-15691, -2334, -3421), (503, 20, 62)]
[(-15715, -2356, -3400), (376, 34, 45)]
[(-15715, -2356, -3400), (376, 34, 45)]
[(-15715, -2356, -3400), (376, 34, 45)]
[(-15715, -2356, -3400), (376, 34, 45)]
[(-15715, -2356, -3400), (376, 34, 45)]
[(-15715, -2356, -3400), (376, 34, 45)]
[(-15691, -2333, -3405), (64, -77, 12)]
[(-15691, -2333, -3405), (64, -77, 12)]
[(-15691, -2333, -3405), (64, -77, 12)]
[(-15691, -2333, -3405), (64, -77, 12)]
[(-15691, -2333, -3405), (64, -77, 12)]
[(-15691, -2333, -3405), (64, -77, 12)]
[(-15691, -2333, -3405), (64, -77, 12)]
[(-15740, -2366, -3302), (-339, -34, -35)]
[(-15740, -2366, -3302), (-339, -34, -35)]
[(-15740, -2366, -3302), (-339, -34, -35)]
[(-15740, -2366, -3302), (-339, -34, -35)]
[(-15740, -2366, -3302), (-339, -34, -35)]
[(-15742, -2407, -3239), (-162, -33, -67)]
[(-15742, -2407, -3239), (-162, -33, -67)]
[(-15742, -2407, -3239), (-162, -33, -67)]
[(-15742, -2407, -3239), (-162, -33, -67)]
[(-15742, -2407, -3239), (-162, -33, -67)]
[(-15742, -2407, -3239), (-162, -33, -67)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15766, -2420, -3253), (-78, 109, -69)]
[(-15764, -2414, -3188), (-266, 90, -72)]
[(-15764, -2414, -3188), (-266, 90, -72)]
[(-15764, -2414, -3188), (-266, 90, -72)]
[(-15744, -2428, -3156), (-141, 93, -40)]
[(-15744, -2428, -3156), (-141, 93, -40)]
[(-15744, -2428, -3156), (-141, 93, -40)]
[(-15744, -2428, -3156), (-141, 93, -40)]
[(-15744, -2428, -3156), (-141, 93, -40)]
[(-15744, -2428, -3156), (-141, 93, -40)]
[(-15744, -2428, -3156), (-141, 93, -40)]
[(-15748, -2420, -3171), (-63, 111, -10)]
[(-15748, -2420, -3171), (-63, 111, -10)]
[(-15748, -2420, -3171), (-63, 111, -10)]
[(-15748, -2420, -3171), (-63, 111, -10)]
[(-15748, -2420, -3171), (-63, 111, -10)]
[(-15742, -2449, -3148), (-33, 152, 17)]
[(-15742, -2449, -3148), (-33, 152, 17)]
