[(-15777, -2469, -3191), (-354, 146, 20)]
[(-15777, -2469, -3191), (-354, 146, 20)]
[(-15777, -2469, -3191), (-354, 146, 20)]
[(-15777, -2469, -3191), (-354, 146, 20)]
[(-15777, -2469, -3191), (-354, 146, 20)]
[(-15761, -2492, -3169), (-215, 105, 18)]
[(-15761, -2492, -3169), (-215, 105, 18)]
[(-15761, -2492, -3169), (-215, 105, 18)]
[(-15761, -2492, -3169), (-215, 105, 18)]
[(-15761, -2492, -3169), (-215, 105, 18)]
[(-15761, -2492, -3169), (-215, 105, 18)]
[(-15793, -2453, -3210), (-203, 154, 29)]
[(-15793, -2453, -3210), (-203, 154, 29)]
[(-15793, -2453, -3210), (-203, 154, 29)]
[(-15793, -2453, -3210), (-203, 154, 29)]
[(-15793, -2453, -3210), (-203, 154, 29)]
[(-15796, -2468, -3192), (-193, 202, 15)]
[(-15796, -2468, -3192), (-193, 202, 15)]
[(-15796, -2468, -3192), (-193, 202, 15)]
[(-15796, -2468, -3192), (-193, 202, 15)]
[(-15796, -2468, -3192), (-193, 202, 15)]
[(-15796, -2468, -3192), (-193, 202, 15)]
