[(-15580, 2094, -4750), (-116, 168, -12)]
[(-15588, 2115, -4728), (-160, 195, 37)]
[(-15588, 2115, -4728), (-160, 195, 37)]
[(-15588, 2115, -4728), (-160, 195, 37)]
[(-15588, 2115, -4728), (-160, 195, 37)]
[(-15588, 2115, -4728), (-160, 195, 37)]
[(-15588, 2115, -4728), (-160, 195, 37)]
[(-15588, 2115, -4728), (-160, 195, 37)]
[(-15584, 2140, -4740), (-359, 221, 35)]
[(-15584, 2140, -4740), (-359, 221, 35)]
[(-15584, 2140, -4740), (-359, 221, 35)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15569, 2196, -4799), (-803, 440, 13)]
[(-15597, 2228, -4858), (-1184, 492, -78)]
[(-15597, 2228, -4858), (-1184, 492, -78)]
[(-15597, 2228, -4858), (-1184, 492, -78)]
[(-15597, 2228, -4858), (-1184, 492, -78)]
[(-15597, 2228, -4858), (-1184, 492, -78)]
[(-15612, 2256, -4924), (-1486, 649, -49)]
[(-15612, 2256, -4924), (-1486, 649, -49)]
[(-15612, 2256, -4924), (-1486, 649, -49)]
[(-15612, 2256, -4924), (-1486, 649, -49)]
[(-15612, 2256, -4924), (-1486, 649, -49)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15596, 2281, -5010), (-1367, 690, -5)]
[(-15554, 2321, -5100), (-1251, 685, 0)]
[(-15554, 2321, -5100), (-1251, 685, 0)]
[(-15554, 2321, -5100), (-1251, 685, 0)]
[(-15554, 2321, -5100), (-1251, 685, 0)]
[(-15554, 2321, -5100), (-1251, 685, 0)]
[(-15529, 2308, -5004), (-140, -131, -188)]
[(-15529, 2308, -5004), (-140, -131, -188)]
[(-15529, 2308, -5004), (-140, -131, -188)]
[(-15529, 2308, -5004), (-140, -131, -188)]
[(-15529, 2308, -5004), (-140, -131, -188)]
[(-15529, 2308, -5004), (-140, -131, -188)]
[(-15660, 2077, -4839), (1289, -438, 311)]
[(-15660, 2077, -4839), (1289, -438, 311)]
[(-15660, 2077, -4839), (1289, -438, 311)]
[(-15660, 2077, -4839), (1289, -438, 311)]
[(-15660, 2077, -4839), (1289, -438, 311)]
[(-15660, 2077, -4839), (1289, -438, 311)]
[(-15660, 2077, -4839), (1289, -438, 311)]
[(-15633, 2072, -4818), (1184, -300, 291)]
[(-15633, 2072, -4818), (1184, -300, 291)]
[(-15633, 2072, -4818), (1184, -300, 291)]
[(-15633, 2072, -4818), (1184, -300, 291)]
[(-15633, 2072, -4818), (1184, -300, 291)]
[(-15676, 2099, -4749), (1240, -234, 255)]
[(-15676, 2099, -4749), (1240, -234, 255)]
[(-15676, 2099, -4749), (1240, -234, 255)]
[(-15676, 2099, -4749), (1240, -234, 255)]
[(-15676, 2099, -4749), (1240, -234, 255)]
[(-15676, 2099, -4749), (1240, -234, 255)]
[(-15671, 2076, -4734), (1351, -116, 284)]
[(-15671, 2076, -4734), (1351, -116, 284)]
[(-15671, 2076, -4734), (1351, -116, 284)]
[(-15671, 2076, -4734), (1351, -116, 284)]
[(-15671, 2076, -4734), (1351, -116, 284)]
[(-15671, 2076, -4734), (1351, -116, 284)]
[(-15671, 2076, -4734), (1351, -116, 284)]
[(-15653, 2089, -4762), (1170, -72, 318)]
[(-15653, 2089, -4762), (1170, -72, 318)]
[(-15653, 2089, -4762), (1170, -72, 318)]
[(-15653, 2089, -4762), (1170, -72, 318)]
[(-15653, 2089, -4762), (1170, -72, 318)]
[(-15655, 2065, -4789), (929, -32, 260)]
[(-15655, 2065, -4789), (929, -32, 260)]
[(-15655, 2065, -4789), (929, -32, 260)]
[(-15655, 2065, -4789), (929, -32, 260)]
[(-15655, 2065, -4789), (929, -32, 260)]
[(-15655, 2065, -4789), (929, -32, 260)]
[(-15680, 2120, -4800), (523, 109, 225)]
[(-15680, 2120, -4800), (523, 109, 225)]
[(-15680, 2120, -4800), (523, 109, 225)]
[(-15680, 2120, -4800), (523, 109, 225)]
[(-15680, 2120, -4800), (523, 109, 225)]
[(-15687, 2250, -4764), (-330, 34, 65)]
[(-15687, 2250, -4764), (-330, 34, 65)]
[(-15687, 2250, -4764), (-330, 34, 65)]
[(-15687, 2250, -4764), (-330, 34, 65)]
[(-15687, 2250, -4764), (-330, 34, 65)]
[(-15584, 2199, -4781), (-815, 346, -184)]
[(-15584, 2199, -4781), (-815, 346, -184)]
[(-15584, 2199, -4781), (-815, 346, -184)]
[(-15584, 2199, -4781), (-815, 346, -184)]
[(-15584, 2199, -4781), (-815, 346, -184)]
[(-15584, 2199, -4781), (-815, 346, -184)]
[(-15575, 2055, -4905), (-1342, 665, -478)]
[(-15575, 2055, -4905), (-1342, 665, -478)]
[(-15575, 2055, -4905), (-1342, 665, -478)]
[(-15575, 2055, -4905), (-1342, 665, -478)]
[(-15575, 2055, -4905), (-1342, 665, -478)]
[(-15575, 2055, -4905), (-1342, 665, -478)]
[(-15575, 2055, -4905), (-1342, 665, -478)]
[(-15666, 1984, -4992), (-1434, 677, -407)]
[(-15666, 1984, -4992), (-1434, 677, -407)]
