[(-14691, 5388, -5238), (-146, 96, -8)]
[(-14652, 5400, -5232), (-152, 113, -8)]
[(-14652, 5400, -5232), (-152, 113, -8)]
[(-14656, 5375, -5237), (-38, 160, -17)]
[(-14656, 5375, -5237), (-38, 160, -17)]
[(-14656, 5375, -5237), (-38, 160, -17)]
[(-14656, 5375, -5237), (-38, 160, -17)]
[(-14656, 5375, -5237), (-38, 160, -17)]
[(-14656, 5375, -5237), (-38, 160, -17)]
[(-14682, 5400, -5259), (62, 108, -56)]
[(-14682, 5400, -5259), (62, 108, -56)]
[(-14682, 5400, -5259), (62, 108, -56)]
[(-14682, 5400, -5259), (62, 108, -56)]
[(-14682, 5400, -5259), (62, 108, -56)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14699, 5356, -5232), (46, 103, -60)]
[(-14689, 5328, -5216), (36, 148, -39)]
[(-14689, 5328, -5216), (36, 148, -39)]
[(-14689, 5328, -5216), (36, 148, -39)]
[(-14689, 5328, -5216), (36, 148, -39)]
[(-14689, 5328, -5216), (36, 148, -39)]
[(-14675, 5335, -5205), (70, 161, -15)]
[(-14675, 5335, -5205), (70, 161, -15)]
[(-14675, 5335, -5205), (70, 161, -15)]
[(-14675, 5335, -5205), (70, 161, -15)]
[(-14675, 5335, -5205), (70, 161, -15)]
[(-14685, 5322, -5200), (-5, 143, -25)]
[(-14685, 5322, -5200), (-5, 143, -25)]
[(-14685, 5322, -5200), (-5, 143, -25)]
[(-14685, 5322, -5200), (-5, 143, -25)]
[(-14685, 5322, -5200), (-5, 143, -25)]
[(-14685, 5322, -5200), (-5, 143, -25)]
[(-14702, 5288, -5200), (-162, 281, 18)]
[(-14702, 5288, -5200), (-162, 281, 18)]
[(-14702, 5288, -5200), (-162, 281, 18)]
[(-14702, 5288, -5200), (-162, 281, 18)]
[(-14702, 5288, -5200), (-162, 281, 18)]
[(-14702, 5288, -5200), (-162, 281, 18)]
[(-14702, 5288, -5200), (-162, 281, 18)]
[(-14682, 5354, -5241), (-129, 265, 66)]
[(-14682, 5354, -5241), (-129, 265, 66)]
[(-14682, 5354, -5241), (-129, 265, 66)]
[(-14682, 5354, -5241), (-129, 265, 66)]
[(-14682, 5354, -5241), (-129, 265, 66)]
[(-14683, 5332, -5276), (-189, 236, 58)]
[(-14683, 5332, -5276), (-189, 236, 58)]
[(-14683, 5332, -5276), (-189, 236, 58)]
[(-14683, 5332, -5276), (-189, 236, 58)]
[(-14683, 5332, -5276), (-189, 236, 58)]
[(-14683, 5332, -5276), (-189, 236, 58)]
[(-14672, 5316, -5281), (-110, 200, 104)]
[(-14672, 5316, -5281), (-110, 200, 104)]
[(-14672, 5316, -5281), (-110, 200, 104)]
[(-14672, 5316, -5281), (-110, 200, 104)]
[(-14672, 5316, -5281), (-110, 200, 104)]
[(-14672, 5316, -5281), (-110, 200, 104)]
[(-14672, 5316, -5281), (-110, 200, 104)]
[(-14660, 5341, -5309), (-92, 215, 96)]
[(-14660, 5341, -5309), (-92, 215, 96)]
[(-14660, 5341, -5309), (-92, 215, 96)]
[(-14660, 5341, -5309), (-92, 215, 96)]
[(-14660, 5341, -5309), (-92, 215, 96)]
[(-14660, 5341, -5309), (-92, 215, 96)]
[(-14653, 5344, -5342), (-84, 203, 49)]
[(-14653, 5344, -5342), (-84, 203, 49)]
[(-14653, 5344, -5342), (-84, 203, 49)]
[(-14653, 5344, -5342), (-84, 203, 49)]
[(-14652, 5346, -5368), (-105, 187, 22)]
[(-14652, 5346, -5368), (-105, 187, 22)]
[(-14652, 5346, -5368), (-105, 187, 22)]
[(-14652, 5346, -5368), (-105, 187, 22)]
[(-14652, 5346, -5368), (-105, 187, 22)]
[(-14652, 5346, -5368), (-105, 187, 22)]
[(-14652, 5346, -5368), (-105, 187, 22)]
[(-14668, 5310, -5380), (-117, 192, 18)]
[(-14668, 5310, -5380), (-117, 192, 18)]
[(-14668, 5310, -5380), (-117, 192, 18)]
[(-14668, 5310, -5380), (-117, 192, 18)]
[(-14668, 5310, -5380), (-117, 192, 18)]
[(-14677, 5331, -5388), (-121, 207, 16)]
[(-14677, 5331, -5388), (-121, 207, 16)]
[(-14677, 5331, -5388), (-121, 207, 16)]
[(-14677, 5331, -5388), (-121, 207, 16)]
[(-14677, 5331, -5388), (-121, 207, 16)]
[(-14677, 5331, -5388), (-121, 207, 16)]
[(-14684, 5323, -5393), (-86, 159, 8)]
[(-14684, 5323, -5393), (-86, 159, 8)]
