[(-14756, 4963, -5503), (-122, 156, 49)]
[(-14751, 4968, -5504), (-129, 164, 53)]
[(-14751, 4968, -5504), (-129, 164, 53)]
[(-14751, 4968, -5504), (-129, 164, 53)]
[(-14738, 4996, -5501), (-158, 188, 54)]
[(-14738, 4996, -5501), (-158, 188, 54)]
[(-14738, 4996, -5501), (-158, 188, 54)]
[(-14738, 4996, -5501), (-158, 188, 54)]
[(-14751, 4992, -5507), (-229, 251, 59)]
[(-14751, 4992, -5507), (-229, 251, 59)]
[(-14751, 4992, -5507), (-229, 251, 59)]
[(-14751, 4992, -5507), (-229, 251, 59)]
[(-14751, 4992, -5507), (-229, 251, 59)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14751, 5028, -5524), (-335, 327, 76)]
[(-14732, 5032, -5484), (-363, 300, 72)]
[(-14732, 5032, -5484), (-363, 300, 72)]
[(-14732, 5032, -5484), (-363, 300, 72)]
[(-14732, 5032, -5484), (-363, 300, 72)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14734, 5049, -5504), (-334, 270, 55)]
[(-14728, 5070, -5510), (-303, 228, 39)]
[(-14728, 5070, -5510), (-303, 228, 39)]
[(-14728, 5070, -5510), (-303, 228, 39)]
[(-14732, 5089, -5546), (-215, 186, 28)]
[(-14732, 5089, -5546), (-215, 186, 28)]
[(-14732, 5089, -5546), (-215, 186, 28)]
[(-14732, 5089, -5546), (-215, 186, 28)]
[(-14732, 5089, -5546), (-215, 186, 28)]
[(-14732, 5089, -5546), (-215, 186, 28)]
[(-14732, 5060, -5523), (-112, 107, -9)]
[(-14732, 5060, -5523), (-112, 107, -9)]
[(-14732, 5060, -5523), (-112, 107, -9)]
[(-14732, 5060, -5523), (-112, 107, -9)]
[(-14732, 5060, -5523), (-112, 107, -9)]
[(-14740, 5089, -5476), (-122, 97, 7)]
[(-14740, 5089, -5476), (-122, 97, 7)]
[(-14740, 5089, -5476), (-122, 97, 7)]
[(-14740, 5089, -5476), (-122, 97, 7)]
[(-14740, 5089, -5476), (-122, 97, 7)]
[(-14740, 5089, -5476), (-122, 97, 7)]
[(-14741, 5057, -5484), (-90, 114, -3)]
[(-14741, 5057, -5484), (-90, 114, -3)]
[(-14741, 5057, -5484), (-90, 114, -3)]
[(-14741, 5057, -5484), (-90, 114, -3)]
[(-14741, 5057, -5484), (-90, 114, -3)]
[(-14741, 5057, -5484), (-90, 114, -3)]
[(-14748, 5044, -5496), (-79, 153, -9)]
[(-14748, 5044, -5496), (-79, 153, -9)]
[(-14748, 5044, -5496), (-79, 153, -9)]
[(-14748, 5044, -5496), (-79, 153, -9)]
[(-14748, 5044, -5496), (-79, 153, -9)]
[(-14760, 5023, -5512), (-73, 147, -3)]
[(-14760, 5023, -5512), (-73, 147, -3)]
[(-14760, 5023, -5512), (-73, 147, -3)]
[(-14760, 5023, -5512), (-73, 147, -3)]
[(-14760, 5023, -5512), (-73, 147, -3)]
[(-14760, 5023, -5512), (-73, 147, -3)]
[(-14760, 5023, -5512), (-73, 147, -3)]
