[(-14751, 2856, -7244), (-90, 225, 16)]
[(-14748, 2846, -7264), (-189, 231, 13)]
[(-14748, 2846, -7264), (-189, 231, 13)]
[(-14748, 2846, -7264), (-189, 231, 13)]
[(-14765, 2880, -7040), (-113, 257, 27)]
[(-14765, 2880, -7040), (-113, 257, 27)]
[(-14765, 2880, -7040), (-113, 257, 27)]
[(-14765, 2880, -7040), (-113, 257, 27)]
[(-14765, 2880, -7040), (-113, 257, 27)]
[(-14765, 2880, -7040), (-113, 257, 27)]
[(-14768, 2877, -7120), (-178, 227, 26)]
[(-14768, 2877, -7120), (-178, 227, 26)]
[(-14768, 2877, -7120), (-178, 227, 26)]
[(-14768, 2877, -7120), (-178, 227, 26)]
[(-14768, 2877, -7120), (-178, 227, 26)]
[(-14768, 2877, -7120), (-178, 227, 26)]
[(-14768, 2877, -7120), (-178, 227, 26)]
[(-14732, 2893, -7164), (-59, 181, 55)]
[(-14732, 2893, -7164), (-59, 181, 55)]
[(-14732, 2893, -7164), (-59, 181, 55)]
[(-14732, 2893, -7164), (-59, 181, 55)]
[(-14732, 2893, -7164), (-59, 181, 55)]
[(-14728, 2890, -7172), (-74, 202, 42)]
[(-14728, 2890, -7172), (-74, 202, 42)]
[(-14728, 2890, -7172), (-74, 202, 42)]
[(-14728, 2890, -7172), (-74, 202, 42)]
[(-14728, 2890, -7172), (-74, 202, 42)]
[(-14728, 2890, -7172), (-74, 202, 42)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14720, 2880, -7219), (-41, 206, 34)]
[(-14729, 2857, -7255), (-56, 212, 26)]
[(-14729, 2857, -7255), (-56, 212, 26)]
[(-14729, 2857, -7255), (-56, 212, 26)]
[(-14729, 2857, -7255), (-56, 212, 26)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14723, 2839, -7272), (-67, 232, 41)]
[(-14724, 2853, -7312), (-96, 218, 44)]
[(-14724, 2853, -7312), (-96, 218, 44)]
[(-14717, 2848, -7350), (-135, 211, 29)]
[(-14717, 2848, -7350), (-135, 211, 29)]
[(-14717, 2848, -7350), (-135, 211, 29)]
[(-14717, 2848, -7350), (-135, 211, 29)]
[(-14717, 2848, -7350), (-135, 211, 29)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14731, 2853, -7318), (-138, 201, 23)]
[(-14760, 2864, -7301), (-115, 216, 17)]
[(-14760, 2864, -7301), (-115, 216, 17)]
[(-14760, 2864, -7301), (-115, 216, 17)]
[(-14760, 2864, -7301), (-115, 216, 17)]
[(-14760, 2864, -7301), (-115, 216, 17)]
[(-14745, 2852, -7336), (-108, 211, 4)]
[(-14745, 2852, -7336), (-108, 211, 4)]
[(-14745, 2852, -7336), (-108, 211, 4)]
[(-14745, 2852, -7336), (-108, 211, 4)]
[(-14745, 2852, -7336), (-108, 211, 4)]
[(-14745, 2852, -7336), (-108, 211, 4)]
[(-14740, 2867, -7343), (-114, 208, -3)]
