[(-14011, 5590, -7052), (-160, 299, -1)]
[(-14068, 5623, -7032), (-207, 257, 21)]
[(-14068, 5623, -7032), (-207, 257, 21)]
[(-14068, 5623, -7032), (-207, 257, 21)]
[(-14068, 5623, -7032), (-207, 257, 21)]
[(-14068, 5623, -7032), (-207, 257, 21)]
[(-14072, 5607, -7003), (-161, 269, -16)]
[(-14072, 5607, -7003), (-161, 269, -16)]
[(-14072, 5607, -7003), (-161, 269, -16)]
[(-14072, 5607, -7003), (-161, 269, -16)]
[(-14072, 5607, -7003), (-161, 269, -16)]
[(-14068, 5619, -7043), (-169, 292, 15)]
[(-14068, 5619, -7043), (-169, 292, 15)]
[(-14068, 5619, -7043), (-169, 292, 15)]
[(-14068, 5619, -7043), (-169, 292, 15)]
[(-14068, 5619, -7043), (-169, 292, 15)]
[(-14068, 5619, -7043), (-169, 292, 15)]
[(-14068, 5619, -7043), (-169, 292, 15)]
[(-14064, 5627, -7078), (-181, 309, 12)]
[(-14064, 5627, -7078), (-181, 309, 12)]
[(-14064, 5627, -7078), (-181, 309, 12)]
[(-14064, 5627, -7078), (-181, 309, 12)]
[(-14064, 5627, -7078), (-181, 309, 12)]
[(-14064, 5627, -7078), (-181, 309, 12)]
[(-14045, 5644, -7112), (-186, 367, -29)]
[(-14045, 5644, -7112), (-186, 367, -29)]
[(-14045, 5644, -7112), (-186, 367, -29)]
[(-14045, 5644, -7112), (-186, 367, -29)]
[(-14045, 5644, -7112), (-186, 367, -29)]
[(-14043, 5640, -7142), (-300, 514, -14)]
[(-14043, 5640, -7142), (-300, 514, -14)]
[(-14043, 5640, -7142), (-300, 514, -14)]
[(-14043, 5640, -7142), (-300, 514, -14)]
[(-14043, 5640, -7142), (-300, 514, -14)]
[(-14043, 5640, -7142), (-300, 514, -14)]
[(-14043, 5640, -7142), (-300, 514, -14)]
[(-14016, 5662, -7156), (-435, 629, -20)]
[(-14016, 5662, -7156), (-435, 629, -20)]
[(-14016, 5662, -7156), (-435, 629, -20)]
[(-14016, 5662, -7156), (-435, 629, -20)]
[(-14016, 5662, -7156), (-435, 629, -20)]
[(-14016, 5662, -7156), (-435, 629, -20)]
[(-14006, 5675, -7182), (-432, 465, 8)]
[(-14006, 5675, -7182), (-432, 465, 8)]
[(-14006, 5675, -7182), (-432, 465, 8)]
[(-14006, 5675, -7182), (-432, 465, 8)]
[(-14006, 5675, -7182), (-432, 465, 8)]
[(-13971, 5708, -7241), (-346, 343, -61)]
[(-13971, 5708, -7241), (-346, 343, -61)]
[(-13971, 5708, -7241), (-346, 343, -61)]
[(-13971, 5708, -7241), (-346, 343, -61)]
[(-13971, 5708, -7241), (-346, 343, -61)]
[(-13971, 5708, -7241), (-346, 343, -61)]
[(-13971, 5708, -7241), (-346, 343, -61)]
[(-13985, 5677, -7248), (-219, 253, -56)]
[(-13985, 5677, -7248), (-219, 253, -56)]
[(-13985, 5677, -7248), (-219, 253, -56)]
[(-13985, 5677, -7248), (-219, 253, -56)]
[(-13985, 5677, -7248), (-219, 253, -56)]
[(-13985, 5677, -7248), (-219, 253, -56)]
[(-14040, 5655, -7187), (79, -109, 0)]
[(-14040, 5655, -7187), (79, -109, 0)]
[(-14040, 5655, -7187), (79, -109, 0)]
[(-14040, 5655, -7187), (79, -109, 0)]
[(-14040, 5655, -7187), (79, -109, 0)]
[(-14090, 5623, -7148), (203, -96, 116)]
[(-14090, 5623, -7148), (203, -96, 116)]
[(-14090, 5623, -7148), (203, -96, 116)]
[(-14090, 5623, -7148), (203, -96, 116)]
[(-14090, 5623, -7148), (203, -96, 116)]
[(-14090, 5623, -7148), (203, -96, 116)]
