[(-15208, 5358, -2008), (-136, 362, 36)]
[(-15220, 5340, -2036), (-158, 369, 49)]
[(-15220, 5340, -2036), (-158, 369, 49)]
[(-15220, 5340, -2036), (-158, 369, 49)]
[(-15228, 5339, -2051), (-215, 442, 52)]
[(-15228, 5339, -2051), (-215, 442, 52)]
[(-15228, 5339, -2051), (-215, 442, 52)]
[(-15228, 5339, -2051), (-215, 442, 52)]
[(-15228, 5339, -2051), (-215, 442, 52)]
[(-15216, 5349, -2052), (-187, 392, 56)]
[(-15216, 5349, -2052), (-187, 392, 56)]
[(-15216, 5349, -2052), (-187, 392, 56)]
[(-15216, 5349, -2052), (-187, 392, 56)]
[(-15216, 5349, -2052), (-187, 392, 56)]
[(-15216, 5349, -2052), (-187, 392, 56)]
[(-15216, 5349, -2052), (-187, 392, 56)]
[(-15208, 5348, -2048), (-144, 371, 38)]
[(-15208, 5348, -2048), (-144, 371, 38)]
[(-15208, 5348, -2048), (-144, 371, 38)]
[(-15208, 5348, -2048), (-144, 371, 38)]
[(-15208, 5348, -2048), (-144, 371, 38)]
[(-15208, 5348, -2048), (-144, 371, 38)]
[(-15227, 5324, -2063), (-111, 344, 35)]
[(-15227, 5324, -2063), (-111, 344, 35)]
[(-15227, 5324, -2063), (-111, 344, 35)]
[(-15227, 5324, -2063), (-111, 344, 35)]
[(-15227, 5324, -2063), (-111, 344, 35)]
[(-15221, 5348, -2048), (-96, 313, 7)]
[(-15221, 5348, -2048), (-96, 313, 7)]
[(-15221, 5348, -2048), (-96, 313, 7)]
[(-15221, 5348, -2048), (-96, 313, 7)]
[(-15221, 5348, -2048), (-96, 313, 7)]
[(-15221, 5348, -2048), (-96, 313, 7)]
[(-15221, 5348, -2048), (-96, 313, 7)]
[(-15220, 5357, -2031), (-89, 328, -16)]
[(-15220, 5357, -2031), (-89, 328, -16)]
[(-15220, 5357, -2031), (-89, 328, -16)]
[(-15220, 5357, -2031), (-89, 328, -16)]
[(-15220, 5357, -2031), (-89, 328, -16)]
[(-15220, 5357, -2031), (-89, 328, -16)]
[(-15224, 5360, -2044), (-32, 359, -61)]
[(-15224, 5360, -2044), (-32, 359, -61)]
[(-15224, 5360, -2044), (-32, 359, -61)]
[(-15224, 5360, -2044), (-32, 359, -61)]
[(-15224, 5360, -2044), (-32, 359, -61)]
[(-15219, 5364, -2055), (-5, 337, -76)]
[(-15219, 5364, -2055), (-5, 337, -76)]
[(-15219, 5364, -2055), (-5, 337, -76)]
[(-15219, 5364, -2055), (-5, 337, -76)]
[(-15219, 5364, -2055), (-5, 337, -76)]
[(-15219, 5364, -2055), (-5, 337, -76)]
[(-15216, 5359, -2060), (22, 336, -82)]
[(-15216, 5359, -2060), (22, 336, -82)]
[(-15216, 5359, -2060), (22, 336, -82)]
[(-15216, 5359, -2060), (22, 336, -82)]
[(-15216, 5359, -2060), (22, 336, -82)]
[(-15216, 5359, -2060), (22, 336, -82)]
[(-15216, 5359, -2060), (22, 336, -82)]
[(-15225, 5379, -2069), (61, 327, -76)]
[(-15225, 5379, -2069), (61, 327, -76)]
[(-15225, 5379, -2069), (61, 327, -76)]
[(-15225, 5379, -2069), (61, 327, -76)]
[(-15225, 5379, -2069), (61, 327, -76)]
[(-15211, 5375, -2085), (31, 325, -70)]
[(-15211, 5375, -2085), (31, 325, -70)]
[(-15211, 5375, -2085), (31, 325, -70)]
[(-15211, 5375, -2085), (31, 325, -70)]
[(-15211, 5375, -2085), (31, 325, -70)]
[(-15211, 5375, -2085), (31, 325, -70)]
[(-15215, 5347, -2080), (17, 317, -67)]
[(-15215, 5347, -2080), (17, 317, -67)]
[(-15215, 5347, -2080), (17, 317, -67)]
[(-15215, 5347, -2080), (17, 317, -67)]
[(-15215, 5347, -2080), (17, 317, -67)]
[(-15215, 5347, -2080), (17, 317, -67)]
[(-15215, 5347, -2080), (17, 317, -67)]
[(-15223, 5333, -2056), (4, 252, -6)]
[(-15223, 5333, -2056), (4, 252, -6)]
[(-15223, 5333, -2056), (4, 252, -6)]
[(-15223, 5333, -2056), (4, 252, -6)]
[(-15223, 5333, -2056), (4, 252, -6)]
[(-15223, 5333, -2056), (4, 252, -6)]
[(-15223, 5333, -2056), (4, 252, -6)]
[(-15200, 5317, -2061), (-21, 237, 15)]
[(-15200, 5317, -2061), (-21, 237, 15)]
[(-15200, 5317, -2061), (-21, 237, 15)]
[(-15200, 5317, -2061), (-21, 237, 15)]
[(-15185, 5304, -2044), (6, 226, 15)]
[(-15185, 5304, -2044), (6, 226, 15)]
[(-15185, 5304, -2044), (6, 226, 15)]
[(-15185, 5304, -2044), (6, 226, 15)]
[(-15185, 5304, -2044), (6, 226, 15)]
[(-15185, 5304, -2044), (6, 226, 15)]
[(-15185, 5304, -2044), (6, 226, 15)]
