[(-15787, 1476, -4999), (331, -717, -132)]
[(-15787, 1476, -4999), (331, -717, -132)]
[(-15839, 1497, -5056), (168, -623, -83)]
[(-15839, 1497, -5056), (168, -623, -83)]
[(-15839, 1497, -5056), (168, -623, -83)]
[(-15839, 1497, -5056), (168, -623, -83)]
[(-15839, 1497, -5056), (168, -623, -83)]
[(-15839, 1497, -5056), (168, -623, -83)]
[(-15839, 1497, -5056), (168, -623, -83)]
[(-15833, 1484, -4991), (97, -544, -52)]
[(-15833, 1484, -4991), (97, -544, -52)]
[(-15833, 1484, -4991), (97, -544, -52)]
[(-15833, 1484, -4991), (97, -544, -52)]
[(-15833, 1484, -4991), (97, -544, -52)]
[(-15808, 1532, -4884), (-46, -445, -51)]
[(-15808, 1532, -4884), (-46, -445, -51)]
[(-15808, 1532, -4884), (-46, -445, -51)]
[(-15808, 1532, -4884), (-46, -445, -51)]
[(-15808, 1532, -4884), (-46, -445, -51)]
[(-15808, 1532, -4884), (-46, -445, -51)]
[(-15804, 1473, -4776), (93, -385, -271)]
[(-15804, 1473, -4776), (93, -385, -271)]
[(-15804, 1473, -4776), (93, -385, -271)]
[(-15804, 1473, -4776), (93, -385, -271)]
[(-15804, 1473, -4776), (93, -385, -271)]
[(-15804, 1473, -4776), (93, -385, -271)]
