[(-15513, -1813, -5228), (-33, 164, 12)]
[(-15336, -1859, -5400), (338, 196, -129)]
[(-15336, -1859, -5400), (338, 196, -129)]
[(-15336, -1859, -5400), (338, 196, -129)]
[(-15336, -1859, -5400), (338, 196, -129)]
[(-15336, -1859, -5400), (338, 196, -129)]
[(-15397, -1878, -5351), (273, 190, -165)]
[(-15397, -1878, -5351), (273, 190, -165)]
[(-15397, -1878, -5351), (273, 190, -165)]
[(-15397, -1878, -5351), (273, 190, -165)]
[(-15397, -1878, -5351), (273, 190, -165)]
[(-15397, -1878, -5351), (273, 190, -165)]
[(-15429, -1901, -5295), (-99, 78, -119)]
[(-15429, -1901, -5295), (-99, 78, -119)]
[(-15429, -1901, -5295), (-99, 78, -119)]
[(-15429, -1901, -5295), (-99, 78, -119)]
[(-15429, -1901, -5295), (-99, 78, -119)]
[(-15429, -1901, -5295), (-99, 78, -119)]
[(-15429, -1901, -5295), (-99, 78, -119)]
[(-15449, -1882, -5200), (-264, 69, -101)]
[(-15449, -1882, -5200), (-264, 69, -101)]
[(-15449, -1882, -5200), (-264, 69, -101)]
[(-15449, -1882, -5200), (-264, 69, -101)]
[(-15449, -1882, -5200), (-264, 69, -101)]
[(-15470, -1888, -5155), (-260, 80, -7)]
[(-15470, -1888, -5155), (-260, 80, -7)]
[(-15470, -1888, -5155), (-260, 80, -7)]
[(-15470, -1888, -5155), (-260, 80, -7)]
[(-15470, -1888, -5155), (-260, 80, -7)]
[(-15470, -1888, -5155), (-260, 80, -7)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15487, -1870, -5141), (-364, 157, 11)]
[(-15490, -1849, -5184), (-263, 153, -53)]
[(-15490, -1849, -5184), (-263, 153, -53)]
[(-15490, -1849, -5184), (-263, 153, -53)]
[(-15490, -1849, -5184), (-263, 153, -53)]
[(-15540, -1865, -4820), (-178, 239, -14)]
[(-15540, -1865, -4820), (-178, 239, -14)]
[(-15540, -1865, -4820), (-178, 239, -14)]
[(-15540, -1865, -4820), (-178, 239, -14)]
[(-15540, -1865, -4820), (-178, 239, -14)]
[(-15540, -1865, -4820), (-178, 239, -14)]
[(-15540, -1839, -4880), (-174, 259, 21)]
[(-15540, -1839, -4880), (-174, 259, 21)]
[(-15540, -1839, -4880), (-174, 259, 21)]
[(-15540, -1839, -4880), (-174, 259, 21)]
[(-15540, -1839, -4880), (-174, 259, 21)]
[(-15540, -1839, -4880), (-174, 259, 21)]
[(-15552, -1823, -4911), (-40, 229, 36)]
[(-15552, -1823, -4911), (-40, 229, 36)]
[(-15552, -1823, -4911), (-40, 229, 36)]
[(-15552, -1823, -4911), (-40, 229, 36)]
[(-15552, -1823, -4911), (-40, 229, 36)]
[(-15562, -1819, -4944), (-23, 175, 75)]
[(-15562, -1819, -4944), (-23, 175, 75)]
[(-15562, -1819, -4944), (-23, 175, 75)]
[(-15562, -1819, -4944), (-23, 175, 75)]
[(-15562, -1819, -4944), (-23, 175, 75)]
[(-15562, -1819, -4944), (-23, 175, 75)]
[(-15548, -1789, -4967), (-53, 172, 111)]
[(-15548, -1789, -4967), (-53, 172, 111)]
[(-15548, -1789, -4967), (-53, 172, 111)]
[(-15548, -1789, -4967), (-53, 172, 111)]
[(-15548, -1789, -4967), (-53, 172, 111)]
[(-15548, -1789, -4967), (-53, 172, 111)]
[(-15548, -1789, -4967), (-53, 172, 111)]
[(-15538, -1791, -5018), (-16, 178, 92)]
[(-15538, -1791, -5018), (-16, 178, 92)]
[(-15538, -1791, -5018), (-16, 178, 92)]
