[(-14446, 3330, -7607), (-113, 211, -36)]
[(-14503, 3324, -7571), (-89, 203, 2)]
[(-14504, 3328, -7545), (54, 103, 45)]
[(-14504, 3328, -7545), (54, 103, 45)]
[(-14504, 3328, -7545), (54, 103, 45)]
[(-14504, 3328, -7545), (54, 103, 45)]
[(-14504, 3328, -7545), (54, 103, 45)]
[(-14471, 3317, -7668), (-3, 290, 67)]
[(-14471, 3317, -7668), (-3, 290, 67)]
[(-14471, 3317, -7668), (-3, 290, 67)]
[(-14471, 3317, -7668), (-3, 290, 67)]
[(-14471, 3317, -7668), (-3, 290, 67)]
[(-14471, 3317, -7668), (-3, 290, 67)]
[(-14471, 3317, -7668), (-3, 290, 67)]
[(-14472, 3323, -7643), (-198, 172, 99)]
[(-14472, 3323, -7643), (-198, 172, 99)]
[(-14472, 3323, -7643), (-198, 172, 99)]
[(-14472, 3323, -7643), (-198, 172, 99)]
[(-14472, 3323, -7643), (-198, 172, 99)]
[(-14472, 3323, -7643), (-198, 172, 99)]
[(-14489, 3299, -7631), (-130, 227, 91)]
[(-14489, 3299, -7631), (-130, 227, 91)]
[(-14489, 3299, -7631), (-130, 227, 91)]
[(-14489, 3299, -7631), (-130, 227, 91)]
[(-14489, 3299, -7631), (-130, 227, 91)]
[(-14492, 3296, -7614), (-57, 265, 85)]
[(-14492, 3296, -7614), (-57, 265, 85)]
[(-14492, 3296, -7614), (-57, 265, 85)]
[(-14492, 3296, -7614), (-57, 265, 85)]
[(-14492, 3296, -7614), (-57, 265, 85)]
[(-14492, 3296, -7614), (-57, 265, 85)]
[(-14492, 3296, -7614), (-57, 265, 85)]
[(-14507, 3317, -7642), (-277, 233, -4)]
[(-14507, 3317, -7642), (-277, 233, -4)]
[(-14507, 3317, -7642), (-277, 233, -4)]
[(-14507, 3317, -7642), (-277, 233, -4)]
[(-14507, 3317, -7642), (-277, 233, -4)]
[(-14507, 3317, -7642), (-277, 233, -4)]
[(-14498, 3348, -7578), (-306, 189, 6)]
[(-14498, 3348, -7578), (-306, 189, 6)]
[(-14498, 3348, -7578), (-306, 189, 6)]
[(-14498, 3348, -7578), (-306, 189, 6)]
[(-14498, 3348, -7578), (-306, 189, 6)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14512, 3349, -7507), (-240, 213, 13)]
[(-14497, 3349, -7474), (-191, 264, 10)]
[(-14497, 3349, -7474), (-191, 264, 10)]
[(-14497, 3349, -7474), (-191, 264, 10)]
[(-14497, 3349, -7474), (-191, 264, 10)]
[(-14529, 3312, -7501), (-176, 265, 18)]
[(-14529, 3312, -7501), (-176, 265, 18)]
[(-14529, 3312, -7501), (-176, 265, 18)]
[(-14529, 3312, -7501), (-176, 265, 18)]
[(-14529, 3312, -7501), (-176, 265, 18)]
[(-14521, 3316, -7504), (-179, 233, 37)]
[(-14521, 3316, -7504), (-179, 233, 37)]
[(-14521, 3316, -7504), (-179, 233, 37)]
[(-14521, 3316, -7504), (-179, 233, 37)]
[(-14521, 3316, -7504), (-179, 233, 37)]
[(-14521, 3316, -7504), (-179, 233, 37)]
[(-14521, 3316, -7504), (-179, 233, 37)]
[(-14535, 3332, -7498), (-171, 218, 25)]
[(-14535, 3332, -7498), (-171, 218, 25)]
[(-14535, 3332, -7498), (-171, 218, 25)]
[(-14535, 3332, -7498), (-171, 218, 25)]
[(-14535, 3332, -7498), (-171, 218, 25)]
[(-14535, 3332, -7498), (-171, 218, 25)]
[(-14544, 3336, -7504), (-139, 221, 20)]
[(-14544, 3336, -7504), (-139, 221, 20)]
[(-14544, 3336, -7504), (-139, 221, 20)]
[(-14544, 3336, -7504), (-139, 221, 20)]
[(-14544, 3336, -7504), (-139, 221, 20)]
[(-14544, 3336, -7504), (-139, 221, 20)]
[(-14544, 3336, -7504), (-139, 221, 20)]
