[(-15159, 5469, -2588), (-205, 264, 68)]
[(-15174, 5451, -2608), (-212, 320, 72)]
[(-15174, 5451, -2608), (-212, 320, 72)]
[(-15174, 5451, -2608), (-212, 320, 72)]
[(-15174, 5451, -2608), (-212, 320, 72)]
[(-15174, 5451, -2608), (-212, 320, 72)]
[(-15174, 5451, -2608), (-212, 320, 72)]
[(-15169, 5476, -2617), (-202, 410, 54)]
[(-15169, 5476, -2617), (-202, 410, 54)]
[(-15169, 5476, -2617), (-202, 410, 54)]
[(-15169, 5476, -2617), (-202, 410, 54)]
[(-15169, 5476, -2617), (-202, 410, 54)]
[(-15139, 5490, -2593), (-156, 381, 10)]
[(-15139, 5490, -2593), (-156, 381, 10)]
[(-15139, 5490, -2593), (-156, 381, 10)]
[(-15139, 5490, -2593), (-156, 381, 10)]
[(-15139, 5490, -2593), (-156, 381, 10)]
[(-15139, 5490, -2593), (-156, 381, 10)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15145, 5509, -2612), (-150, 393, 0)]
[(-15141, 5534, -2647), (-133, 394, -6)]
[(-15141, 5534, -2647), (-133, 394, -6)]
[(-15141, 5534, -2647), (-133, 394, -6)]
[(-15112, 5560, -2647), (-132, 375, 18)]
[(-15112, 5560, -2647), (-132, 375, 18)]
[(-15112, 5560, -2647), (-132, 375, 18)]
[(-15112, 5560, -2647), (-132, 375, 18)]
[(-15112, 5560, -2647), (-132, 375, 18)]
[(-15112, 5560, -2647), (-132, 375, 18)]
[(-15068, 5544, -2664), (-92, 338, 19)]
[(-15068, 5544, -2664), (-92, 338, 19)]
[(-15068, 5544, -2664), (-92, 338, 19)]
[(-15068, 5544, -2664), (-92, 338, 19)]
[(-15068, 5544, -2664), (-92, 338, 19)]
[(-15068, 5544, -2664), (-92, 338, 19)]
[(-15068, 5544, -2664), (-92, 338, 19)]
[(-15055, 5522, -2656), (-99, 370, -14)]
[(-15055, 5522, -2656), (-99, 370, -14)]
[(-15055, 5522, -2656), (-99, 370, -14)]
[(-15055, 5522, -2656), (-99, 370, -14)]
[(-15055, 5522, -2656), (-99, 370, -14)]
[(-15080, 5541, -2608), (-13, 288, 35)]
[(-15080, 5541, -2608), (-13, 288, 35)]
[(-15080, 5541, -2608), (-13, 288, 35)]
[(-15080, 5541, -2608), (-13, 288, 35)]
[(-15080, 5541, -2608), (-13, 288, 35)]
[(-15080, 5541, -2608), (-13, 288, 35)]
[(-15118, 5616, -2641), (-4, 221, 108)]
[(-15118, 5616, -2641), (-4, 221, 108)]
[(-15118, 5616, -2641), (-4, 221, 108)]
[(-15118, 5616, -2641), (-4, 221, 108)]
[(-15118, 5616, -2641), (-4, 221, 108)]
[(-15118, 5616, -2641), (-4, 221, 108)]
[(-15118, 5616, -2641), (-4, 221, 108)]
[(-15093, 5580, -2590), (-110, 164, -48)]
[(-15093, 5580, -2590), (-110, 164, -48)]
[(-15093, 5580, -2590), (-110, 164, -48)]
[(-15093, 5580, -2590), (-110, 164, -48)]
[(-15093, 5580, -2590), (-110, 164, -48)]
[(-15116, 5564, -2564), (-61, 227, 26)]
[(-15116, 5564, -2564), (-61, 227, 26)]
[(-15116, 5564, -2564), (-61, 227, 26)]
[(-15116, 5564, -2564), (-61, 227, 26)]
[(-15116, 5564, -2564), (-61, 227, 26)]
[(-15136, 5545, -2579), (-49, 211, -26)]
[(-15136, 5545, -2579), (-49, 211, -26)]
[(-15136, 5545, -2579), (-49, 211, -26)]
[(-15136, 5545, -2579), (-49, 211, -26)]
[(-15136, 5545, -2579), (-49, 211, -26)]
[(-15136, 5545, -2579), (-49, 211, -26)]
[(-15136, 5545, -2579), (-49, 211, -26)]
[(-15132, 5555, -2567), (-7, 246, 2)]
[(-15132, 5555, -2567), (-7, 246, 2)]
[(-15132, 5555, -2567), (-7, 246, 2)]
[(-15132, 5555, -2567), (-7, 246, 2)]
[(-15132, 5555, -2567), (-7, 246, 2)]
[(-15164, 5499, -2555), (22, 287, 23)]
[(-15164, 5499, -2555), (22, 287, 23)]
[(-15164, 5499, -2555), (22, 287, 23)]
[(-15164, 5499, -2555), (22, 287, 23)]
[(-15164, 5499, -2555), (22, 287, 23)]
[(-15164, 5499, -2555), (22, 287, 23)]
[(-15150, 5491, -2570), (20, 362, 56)]
[(-15150, 5491, -2570), (20, 362, 56)]
[(-15150, 5491, -2570), (20, 362, 56)]
[(-15150, 5491, -2570), (20, 362, 56)]
