[(-14212, 7050, -4551), (-68, 190, -43)]
[(-14212, 7072, -4503), (-61, 201, -30)]
[(-14212, 7072, -4503), (-61, 201, -30)]
[(-14212, 7072, -4503), (-61, 201, -30)]
[(-14212, 7072, -4503), (-61, 201, -30)]
[(-14245, 7072, -4498), (10, 97, -18)]
[(-14245, 7072, -4498), (10, 97, -18)]
[(-14245, 7072, -4498), (10, 97, -18)]
[(-14245, 7072, -4498), (10, 97, -18)]
[(-14245, 7072, -4498), (10, 97, -18)]
[(-14236, 7054, -4488), (56, 116, 10)]
[(-14236, 7054, -4488), (56, 116, 10)]
[(-14236, 7054, -4488), (56, 116, 10)]
[(-14236, 7054, -4488), (56, 116, 10)]
[(-14236, 7054, -4488), (56, 116, 10)]
[(-14236, 7054, -4488), (56, 116, 10)]
[(-14224, 7041, -4477), (24, 177, -13)]
[(-14224, 7041, -4477), (24, 177, -13)]
[(-14224, 7041, -4477), (24, 177, -13)]
[(-14224, 7041, -4477), (24, 177, -13)]
[(-14224, 7041, -4477), (24, 177, -13)]
[(-14224, 7041, -4477), (24, 177, -13)]
[(-14224, 7041, -4477), (24, 177, -13)]
[(-14233, 7040, -4490), (30, 190, -11)]
[(-14233, 7040, -4490), (30, 190, -11)]
[(-14233, 7040, -4490), (30, 190, -11)]
[(-14233, 7040, -4490), (30, 190, -11)]
[(-14233, 7040, -4490), (30, 190, -11)]
[(-14258, 6996, -4509), (55, 204, -24)]
[(-14258, 6996, -4509), (55, 204, -24)]
[(-14258, 6996, -4509), (55, 204, -24)]
[(-14258, 6996, -4509), (55, 204, -24)]
[(-14258, 6996, -4509), (55, 204, -24)]
[(-14258, 6996, -4509), (55, 204, -24)]
[(-14236, 6989, -4509), (64, 185, -23)]
[(-14236, 6989, -4509), (64, 185, -23)]
[(-14236, 6989, -4509), (64, 185, -23)]
[(-14236, 6989, -4509), (64, 185, -23)]
[(-14236, 6989, -4509), (64, 185, -23)]
[(-14236, 6989, -4509), (64, 185, -23)]
[(-14236, 6989, -4509), (64, 185, -23)]
[(-14238, 6948, -4588), (66, 111, -2)]
[(-14238, 6948, -4588), (66, 111, -2)]
[(-14238, 6948, -4588), (66, 111, -2)]
[(-14238, 6948, -4588), (66, 111, -2)]
[(-14238, 6948, -4588), (66, 111, -2)]
[(-14254, 6948, -4633), (-23, 172, -24)]
[(-14254, 6948, -4633), (-23, 172, -24)]
[(-14254, 6948, -4633), (-23, 172, -24)]
[(-14254, 6948, -4633), (-23, 172, -24)]
[(-14254, 6948, -4633), (-23, 172, -24)]
[(-14254, 6948, -4633), (-23, 172, -24)]
[(-14206, 7004, -4634), (30, 213, -8)]
[(-14206, 7004, -4634), (30, 213, -8)]
[(-14206, 7004, -4634), (30, 213, -8)]
[(-14206, 7004, -4634), (30, 213, -8)]
[(-14206, 7004, -4634), (30, 213, -8)]
[(-14206, 7004, -4634), (30, 213, -8)]
[(-14206, 7004, -4634), (30, 213, -8)]
[(-14254, 6968, -4630), (61, 245, -28)]
