[(-13929, 7589, -4957), (-4, 241, 16)]
[(-13880, 7571, -4973), (-49, 176, -32)]
[(-13880, 7571, -4973), (-49, 176, -32)]
[(-13880, 7571, -4973), (-49, 176, -32)]
[(-13880, 7571, -4973), (-49, 176, -32)]
[(-13880, 7571, -4973), (-49, 176, -32)]
[(-13900, 7558, -5004), (-38, 154, -11)]
[(-13900, 7558, -5004), (-38, 154, -11)]
[(-13900, 7558, -5004), (-38, 154, -11)]
[(-13900, 7558, -5004), (-38, 154, -11)]
[(-13900, 7558, -5004), (-38, 154, -11)]
[(-13896, 7542, -5028), (-84, 194, -12)]
[(-13896, 7542, -5028), (-84, 194, -12)]
[(-13896, 7542, -5028), (-84, 194, -12)]
[(-13896, 7542, -5028), (-84, 194, -12)]
[(-13896, 7542, -5028), (-84, 194, -12)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13887, 7513, -5032), (-66, 198, 16)]
[(-13881, 7524, -5019), (-33, 224, -2)]
[(-13881, 7524, -5019), (-33, 224, -2)]
[(-13881, 7524, -5019), (-33, 224, -2)]
[(-13881, 7524, -5019), (-33, 224, -2)]
[(-13881, 7524, -5019), (-33, 224, -2)]
[(-13905, 7521, -4987), (-55, 266, -9)]
[(-13905, 7521, -4987), (-55, 266, -9)]
[(-13905, 7521, -4987), (-55, 266, -9)]
[(-13905, 7521, -4987), (-55, 266, -9)]
[(-13905, 7521, -4987), (-55, 266, -9)]
[(-13905, 7521, -4987), (-55, 266, -9)]
[(-13894, 7524, -5044), (-81, 263, 7)]
[(-13894, 7524, -5044), (-81, 263, 7)]
[(-13894, 7524, -5044), (-81, 263, 7)]
[(-13894, 7524, -5044), (-81, 263, 7)]
[(-13894, 7524, -5044), (-81, 263, 7)]
[(-13894, 7524, -5044), (-81, 263, 7)]
[(-13894, 7524, -5044), (-81, 263, 7)]
[(-13902, 7530, -5040), (3, 162, -20)]
[(-13902, 7530, -5040), (3, 162, -20)]
[(-13902, 7530, -5040), (3, 162, -20)]
[(-13902, 7530, -5040), (3, 162, -20)]
[(-13902, 7530, -5040), (3, 162, -20)]
[(-13909, 7526, -5116), (-135, 319, -18)]
[(-13909, 7526, -5116), (-135, 319, -18)]
[(-13909, 7526, -5116), (-135, 319, -18)]
[(-13909, 7526, -5116), (-135, 319, -18)]
[(-13909, 7526, -5116), (-135, 319, -18)]
[(-13909, 7526, -5116), (-135, 319, -18)]
[(-13920, 7496, -5134), (-171, 385, 45)]
[(-13920, 7496, -5134), (-171, 385, 45)]
[(-13920, 7496, -5134), (-171, 385, 45)]
[(-13920, 7496, -5134), (-171, 385, 45)]
[(-13920, 7496, -5134), (-171, 385, 45)]
[(-13920, 7496, -5134), (-171, 385, 45)]
[(-13920, 7496, -5134), (-171, 385, 45)]
[(-13905, 7493, -5132), (-192, 381, 32)]
[(-13905, 7493, -5132), (-192, 381, 32)]
[(-13905, 7493, -5132), (-192, 381, 32)]
[(-13905, 7493, -5132), (-192, 381, 32)]
[(-13905, 7493, -5132), (-192, 381, 32)]
[(-13863, 7501, -5129), (-151, 327, 36)]
[(-13863, 7501, -5129), (-151, 327, 36)]
[(-13863, 7501, -5129), (-151, 327, 36)]
[(-13863, 7501, -5129), (-151, 327, 36)]
[(-13863, 7501, -5129), (-151, 327, 36)]
[(-13863, 7501, -5129), (-151, 327, 36)]
[(-13884, 7489, -5116), (-155, 248, 13)]
[(-13884, 7489, -5116), (-155, 248, 13)]
[(-13884, 7489, -5116), (-155, 248, 13)]
[(-13884, 7489, -5116), (-155, 248, 13)]
[(-13884, 7489, -5116), (-155, 248, 13)]
[(-13884, 7489, -5116), (-155, 248, 13)]
[(-13884, 7489, -5116), (-155, 248, 13)]
[(-13888, 7478, -5066), (-234, 280, 3)]
[(-13888, 7478, -5066), (-234, 280, 3)]
[(-13888, 7478, -5066), (-234, 280, 3)]
[(-13888, 7478, -5066), (-234, 280, 3)]
[(-13888, 7478, -5066), (-234, 280, 3)]
[(-13868, 7496, -5054), (-272, 336, 56)]
[(-13868, 7496, -5054), (-272, 336, 56)]
[(-13868, 7496, -5054), (-272, 336, 56)]
[(-13868, 7496, -5054), (-272, 336, 56)]
[(-13868, 7496, -5054), (-272, 336, 56)]
[(-13868, 7496, -5054), (-272, 336, 56)]
[(-13872, 7501, -5060), (-240, 383, 64)]
[(-13872, 7501, -5060), (-240, 383, 64)]
[(-13872, 7501, -5060), (-240, 383, 64)]
[(-13872, 7501, -5060), (-240, 383, 64)]
[(-13872, 7501, -5060), (-240, 383, 64)]
[(-13835, 7531, -5056), (-181, 368, 72)]
[(-13835, 7531, -5056), (-181, 368, 72)]
[(-13835, 7531, -5056), (-181, 368, 72)]
[(-13835, 7531, -5056), (-181, 368, 72)]
[(-13835, 7531, -5056), (-181, 368, 72)]
[(-13835, 7531, -5056), (-181, 368, 72)]
[(-13835, 7531, -5056), (-181, 368, 72)]
[(-13852, 7514, -5041), (-132, 279, 62)]
[(-13852, 7514, -5041), (-132, 279, 62)]
[(-13852, 7514, -5041), (-132, 279, 62)]
[(-13852, 7514, -5041), (-132, 279, 62)]
[(-13852, 7514, -5041), (-132, 279, 62)]
[(-13852, 7514, -5041), (-132, 279, 62)]
[(-13850, 7504, -5025), (-164, 243, 65)]
[(-13850, 7504, -5025), (-164, 243, 65)]
[(-13850, 7504, -5025), (-164, 243, 65)]
[(-13850, 7504, -5025), (-164, 243, 65)]
[(-13850, 7504, -5025), (-164, 243, 65)]
[(-13859, 7512, -4953), (-147, 246, 110)]
[(-13859, 7512, -4953), (-147, 246, 110)]
[(-13859, 7512, -4953), (-147, 246, 110)]
[(-13859, 7512, -4953), (-147, 246, 110)]
[(-13859, 7512, -4953), (-147, 246, 110)]
[(-13859, 7512, -4953), (-147, 246, 110)]
[(-13859, 7512, -4953), (-147, 246, 110)]
[(-13844, 7527, -4980), (-87, 249, 101)]
[(-13844, 7527, -4980), (-87, 249, 101)]
[(-13844, 7527, -4980), (-87, 249, 101)]
[(-13844, 7527, -4980), (-87, 249, 101)]
[(-13844, 7527, -4980), (-87, 249, 101)]
[(-13844, 7527, -4980), (-87, 249, 101)]
[(-13844, 7527, -4980), (-87, 249, 101)]
[(-13845, 7528, -4975), (-61, 252, 78)]
[(-13845, 7528, -4975), (-61, 252, 78)]
[(-13845, 7528, -4975), (-61, 252, 78)]
[(-13845, 7528, -4975), (-61, 252, 78)]
[(-13825, 7554, -4988), (-92, 245, 81)]
[(-13825, 7554, -4988), (-92, 245, 81)]
[(-13825, 7554, -4988), (-92, 245, 81)]
[(-13825, 7554, -4988), (-92, 245, 81)]
[(-13825, 7554, -4988), (-92, 245, 81)]
[(-13825, 7554, -4988), (-92, 245, 81)]
[(-13812, 7564, -4966), (-119, 229, 73)]
[(-13812, 7564, -4966), (-119, 229, 73)]
[(-13812, 7564, -4966), (-119, 229, 73)]
[(-13812, 7564, -4966), (-119, 229, 73)]
[(-13812, 7564, -4966), (-119, 229, 73)]
[(-13807, 7593, -4971), (-125, 238, 54)]
[(-13807, 7593, -4971), (-125, 238, 54)]
