[(-14199, 4109, -7799), (1, 72, 73)]
[(-14207, 4120, -7778), (-72, 124, 29)]
[(-14207, 4120, -7778), (-72, 124, 29)]
[(-14212, 4112, -7760), (-108, 169, 11)]
[(-14212, 4112, -7760), (-108, 169, 11)]
[(-14212, 4112, -7760), (-108, 169, 11)]
[(-14212, 4112, -7760), (-108, 169, 11)]
[(-14212, 4112, -7760), (-108, 169, 11)]
[(-14212, 4112, -7760), (-108, 169, 11)]
[(-14212, 4112, -7760), (-108, 169, 11)]
[(-14209, 4144, -7924), (-582, 772, -199)]
[(-14209, 4144, -7924), (-582, 772, -199)]
[(-14209, 4144, -7924), (-582, 772, -199)]
[(-14209, 4144, -7924), (-582, 772, -199)]
[(-14209, 4144, -7924), (-582, 772, -199)]
[(-14209, 4144, -7924), (-582, 772, -199)]
[(-14204, 4096, -8036), (-890, 1015, -374)]
[(-14204, 4096, -8036), (-890, 1015, -374)]
[(-14204, 4096, -8036), (-890, 1015, -374)]
[(-14204, 4096, -8036), (-890, 1015, -374)]
[(-14204, 4096, -8036), (-890, 1015, -374)]
[(-14172, 4076, -8112), (-674, 758, -321)]
[(-14172, 4076, -8112), (-674, 758, -321)]
[(-14172, 4076, -8112), (-674, 758, -321)]
[(-14172, 4076, -8112), (-674, 758, -321)]
[(-14172, 4076, -8112), (-674, 758, -321)]
[(-14172, 4076, -8112), (-674, 758, -321)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14230, 4049, -8182), (-128, -2, -13)]
[(-14207, 4018, -8253), (-149, 146, -66)]
[(-14207, 4018, -8253), (-149, 146, -66)]
[(-14207, 4018, -8253), (-149, 146, -66)]
[(-14207, 4018, -8253), (-149, 146, -66)]
[(-14163, 4068, -8239), (-78, 27, 9)]
[(-14163, 4068, -8239), (-78, 27, 9)]
[(-14163, 4068, -8239), (-78, 27, 9)]
[(-14163, 4068, -8239), (-78, 27, 9)]
[(-14169, 4054, -8294), (-80, -71, 41)]
[(-14169, 4054, -8294), (-80, -71, 41)]
[(-14169, 4054, -8294), (-80, -71, 41)]
[(-14169, 4054, -8294), (-80, -71, 41)]
[(-14169, 4054, -8294), (-80, -71, 41)]
[(-14169, 4054, -8294), (-80, -71, 41)]
[(-14169, 4054, -8294), (-80, -71, 41)]
[(-14172, 4070, -8149), (247, -345, 134)]
[(-14172, 4070, -8149), (247, -345, 134)]
[(-14172, 4070, -8149), (247, -345, 134)]
[(-14172, 4070, -8149), (247, -345, 134)]
[(-14172, 4070, -8149), (247, -345, 134)]
[(-14172, 4070, -8149), (247, -345, 134)]
[(-14146, 4133, -8096), (348, -435, 171)]
[(-14146, 4133, -8096), (348, -435, 171)]
[(-14146, 4133, -8096), (348, -435, 171)]
[(-14146, 4133, -8096), (348, -435, 171)]
[(-14146, 4133, -8096), (348, -435, 171)]
[(-14144, 4108, -8030), (344, -348, 174)]
[(-14144, 4108, -8030), (344, -348, 174)]
[(-14144, 4108, -8030), (344, -348, 174)]
[(-14144, 4108, -8030), (344, -348, 174)]
[(-14144, 4108, -8030), (344, -348, 174)]
