[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15657, -2815, -3564), (-153, 114, -12)]
[(-15657, -2815, -3564), (-153, 114, -12)]
[(-15657, -2815, -3564), (-153, 114, -12)]
[(-15657, -2815, -3564), (-153, 114, -12)]
[(-15659, -2810, -3559), (-130, 157, 0)]
[(-15659, -2810, -3559), (-130, 157, 0)]
[(-15659, -2810, -3559), (-130, 157, 0)]
[(-15659, -2810, -3559), (-130, 157, 0)]
[(-15659, -2810, -3559), (-130, 157, 0)]
[(-15652, -2844, -3582), (-180, 163, -7)]
[(-15652, -2844, -3582), (-180, 163, -7)]
[(-15652, -2844, -3582), (-180, 163, -7)]
[(-15652, -2844, -3582), (-180, 163, -7)]
[(-15652, -2844, -3582), (-180, 163, -7)]
[(-15652, -2818, -3623), (-213, 178, 30)]
