[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15636, -2880, -3706), (-64, 161, -10)]
[(-15615, -2861, -3686), (-84, 162, -14)]
[(-15615, -2861, -3686), (-84, 162, -14)]
[(-15615, -2861, -3686), (-84, 162, -14)]
[(-15615, -2861, -3686), (-84, 162, -14)]
[(-15615, -2861, -3686), (-84, 162, -14)]
[(-15611, -2882, -3703), (-138, 155, -22)]
[(-15611, -2882, -3703), (-138, 155, -22)]
[(-15611, -2882, -3703), (-138, 155, -22)]
[(-15611, -2882, -3703), (-138, 155, -22)]
[(-15611, -2882, -3703), (-138, 155, -22)]
