[(-15625, -2789, -3844), (-67, 117, -33)]
[(-15625, -2789, -3844), (-67, 117, -33)]
[(-15625, -2789, -3844), (-67, 117, -33)]
[(-15636, -2812, -3846), (-49, 143, -9)]
[(-15636, -2812, -3846), (-49, 143, -9)]
[(-15636, -2812, -3846), (-49, 143, -9)]
[(-15636, -2812, -3846), (-49, 143, -9)]
[(-15636, -2812, -3846), (-49, 143, -9)]
[(-15636, -2812, -3846), (-49, 143, -9)]
[(-15652, -2798, -3853), (-78, 163, -4)]
[(-15652, -2798, -3853), (-78, 163, -4)]
[(-15652, -2798, -3853), (-78, 163, -4)]
[(-15652, -2798, -3853), (-78, 163, -4)]
[(-15652, -2798, -3853), (-78, 163, -4)]
[(-15659, -2769, -3879), (-75, 177, 1)]
[(-15659, -2769, -3879), (-75, 177, 1)]
[(-15659, -2769, -3879), (-75, 177, 1)]
[(-15659, -2769, -3879), (-75, 177, 1)]
[(-15659, -2769, -3879), (-75, 177, 1)]
