[(-14472, 5502, -5883), (-109, 138, 45)]
[(-14458, 5515, -5873), (-78, 172, 52)]
[(-14458, 5515, -5873), (-78, 172, 52)]
[(-14458, 5515, -5873), (-78, 172, 52)]
[(-14464, 5534, -5857), (-78, 144, 40)]
[(-14464, 5534, -5857), (-78, 144, 40)]
[(-14464, 5534, -5857), (-78, 144, 40)]
[(-14464, 5534, -5857), (-78, 144, 40)]
[(-14464, 5534, -5857), (-78, 144, 40)]
[(-14464, 5534, -5857), (-78, 144, 40)]
[(-14464, 5534, -5857), (-78, 144, 40)]
[(-14453, 5523, -5836), (-59, 164, 19)]
[(-14453, 5523, -5836), (-59, 164, 19)]
[(-14453, 5523, -5836), (-59, 164, 19)]
[(-14453, 5523, -5836), (-59, 164, 19)]
[(-14453, 5523, -5836), (-59, 164, 19)]
[(-14451, 5522, -5848), (-84, 155, 27)]
[(-14451, 5522, -5848), (-84, 155, 27)]
[(-14451, 5522, -5848), (-84, 155, 27)]
[(-14451, 5522, -5848), (-84, 155, 27)]
[(-14451, 5522, -5848), (-84, 155, 27)]
[(-14451, 5522, -5848), (-84, 155, 27)]
[(-14436, 5522, -5894), (-93, 150, 30)]
[(-14436, 5522, -5894), (-93, 150, 30)]
[(-14436, 5522, -5894), (-93, 150, 30)]
[(-14436, 5522, -5894), (-93, 150, 30)]
[(-14436, 5522, -5894), (-93, 150, 30)]
[(-14436, 5522, -5894), (-93, 150, 30)]
[(-14436, 5522, -5894), (-93, 150, 30)]
[(-14452, 5520, -5909), (-75, 162, 21)]
[(-14452, 5520, -5909), (-75, 162, 21)]
[(-14452, 5520, -5909), (-75, 162, 21)]
[(-14452, 5520, -5909), (-75, 162, 21)]
[(-14452, 5520, -5909), (-75, 162, 21)]
[(-14452, 5520, -5909), (-75, 162, 21)]
[(-14452, 5520, -5909), (-75, 162, 21)]
[(-14448, 5509, -5905), (-85, 131, 24)]
[(-14448, 5509, -5905), (-85, 131, 24)]
[(-14448, 5509, -5905), (-85, 131, 24)]
[(-14448, 5509, -5905), (-85, 131, 24)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14448, 5510, -5897), (-51, 130, 28)]
[(-14436, 5517, -5931), (-63, 176, 31)]
[(-14436, 5517, -5931), (-63, 176, 31)]
[(-14452, 5536, -5939), (-22, 182, 21)]
[(-14452, 5536, -5939), (-22, 182, 21)]
[(-14452, 5536, -5939), (-22, 182, 21)]
[(-14452, 5536, -5939), (-22, 182, 21)]
[(-14452, 5536, -5939), (-22, 182, 21)]
[(-14452, 5536, -5939), (-22, 182, 21)]
[(-14447, 5521, -5935), (-39, 198, 26)]
[(-14447, 5521, -5935), (-39, 198, 26)]
[(-14447, 5521, -5935), (-39, 198, 26)]
[(-14447, 5521, -5935), (-39, 198, 26)]
[(-14447, 5521, -5935), (-39, 198, 26)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14454, 5522, -5913), (-48, 211, 38)]
[(-14424, 5536, -5939), (-41, 210, 63)]
[(-14424, 5536, -5939), (-41, 210, 63)]
[(-14424, 5536, -5939), (-41, 210, 63)]
