[(-14461, 6348, -4995), (-320, 146, -214)]
[(-14461, 6348, -4995), (-320, 146, -214)]
[(-14461, 6348, -4995), (-320, 146, -214)]
[(-14461, 6348, -4995), (-320, 146, -214)]
[(-14461, 6348, -4995), (-320, 146, -214)]
[(-14461, 6348, -4995), (-320, 146, -214)]
[(-14453, 6340, -5015), (-832, 137, -597)]
[(-14453, 6340, -5015), (-832, 137, -597)]
[(-14453, 6340, -5015), (-832, 137, -597)]
[(-14453, 6340, -5015), (-832, 137, -597)]
[(-14453, 6340, -5015), (-832, 137, -597)]
