[(-14272, 5835, -5982), (-60, 111, 49)]
[(-14272, 5825, -6047), (-72, 137, 9)]
[(-14272, 5825, -6047), (-72, 137, 9)]
[(-14272, 5825, -6047), (-72, 137, 9)]
[(-14272, 5825, -6047), (-72, 137, 9)]
[(-14272, 5825, -6047), (-72, 137, 9)]
[(-14272, 5825, -6047), (-72, 137, 9)]
[(-14271, 5841, -6020), (-68, 136, 0)]
[(-14271, 5841, -6020), (-68, 136, 0)]
[(-14271, 5841, -6020), (-68, 136, 0)]
[(-14271, 5841, -6020), (-68, 136, 0)]
[(-14271, 5841, -6020), (-68, 136, 0)]
[(-14271, 5841, -6020), (-68, 136, 0)]
[(-14298, 5842, -5984), (-33, 119, 19)]
[(-14298, 5842, -5984), (-33, 119, 19)]
[(-14298, 5842, -5984), (-33, 119, 19)]
[(-14298, 5842, -5984), (-33, 119, 19)]
[(-14298, 5842, -5984), (-33, 119, 19)]
[(-14312, 5808, -5986), (37, 22, 72)]
[(-14312, 5808, -5986), (37, 22, 72)]
[(-14312, 5808, -5986), (37, 22, 72)]
[(-14312, 5808, -5986), (37, 22, 72)]
[(-14312, 5808, -5986), (37, 22, 72)]
[(-14312, 5808, -5986), (37, 22, 72)]
[(-14312, 5808, -5986), (37, 22, 72)]
[(-14315, 5820, -5971), (236, -226, 188)]
[(-14315, 5820, -5971), (236, -226, 188)]
[(-14315, 5820, -5971), (236, -226, 188)]
[(-14315, 5820, -5971), (236, -226, 188)]
[(-14315, 5820, -5971), (236, -226, 188)]
[(-14352, 5800, -5870), (298, -226, 195)]
[(-14352, 5800, -5870), (298, -226, 195)]
[(-14352, 5800, -5870), (298, -226, 195)]
[(-14352, 5800, -5870), (298, -226, 195)]
[(-14352, 5800, -5870), (298, -226, 195)]
[(-14352, 5800, -5870), (298, -226, 195)]
[(-14338, 5836, -5835), (285, -169, 205)]
[(-14338, 5836, -5835), (285, -169, 205)]
[(-14338, 5836, -5835), (285, -169, 205)]
[(-14338, 5836, -5835), (285, -169, 205)]
[(-14338, 5836, -5835), (285, -169, 205)]
[(-14338, 5836, -5835), (285, -169, 205)]
[(-14338, 5836, -5835), (285, -169, 205)]
[(-14353, 5823, -5816), (257, -123, 219)]
[(-14353, 5823, -5816), (257, -123, 219)]
[(-14353, 5823, -5816), (257, -123, 219)]
[(-14353, 5823, -5816), (257, -123, 219)]
[(-14353, 5823, -5816), (257, -123, 219)]
[(-14353, 5823, -5816), (257, -123, 219)]
[(-14342, 5820, -5769), (139, -69, 156)]
[(-14342, 5820, -5769), (139, -69, 156)]
[(-14342, 5820, -5769), (139, -69, 156)]
[(-14342, 5820, -5769), (139, -69, 156)]
[(-14342, 5820, -5769), (139, -69, 156)]
[(-14359, 5808, -5747), (84, -22, 100)]
[(-14359, 5808, -5747), (84, -22, 100)]
[(-14359, 5808, -5747), (84, -22, 100)]
[(-14359, 5808, -5747), (84, -22, 100)]
[(-14359, 5808, -5747), (84, -22, 100)]
[(-14359, 5808, -5747), (84, -22, 100)]
[(-14359, 5808, -5747), (84, -22, 100)]
[(-14384, 5845, -5777), (44, 50, 56)]
[(-14384, 5845, -5777), (44, 50, 56)]
[(-14384, 5845, -5777), (44, 50, 56)]
[(-14384, 5845, -5777), (44, 50, 56)]
[(-14384, 5845, -5777), (44, 50, 56)]
[(-14384, 5845, -5777), (44, 50, 56)]
[(-14394, 5856, -5808), (18, 102, 36)]
[(-14394, 5856, -5808), (18, 102, 36)]
[(-14394, 5856, -5808), (18, 102, 36)]
[(-14394, 5856, -5808), (18, 102, 36)]
[(-14394, 5856, -5808), (18, 102, 36)]
[(-14412, 5849, -5763), (16, 97, 6)]
[(-14412, 5849, -5763), (16, 97, 6)]
[(-14412, 5849, -5763), (16, 97, 6)]
[(-14412, 5849, -5763), (16, 97, 6)]
[(-14412, 5849, -5763), (16, 97, 6)]
[(-14412, 5849, -5763), (16, 97, 6)]
[(-14412, 5849, -5763), (16, 97, 6)]
[(-14374, 5857, -5740), (-166, 199, -45)]
[(-14374, 5857, -5740), (-166, 199, -45)]
[(-14374, 5857, -5740), (-166, 199, -45)]
[(-14374, 5857, -5740), (-166, 199, -45)]
[(-14374, 5857, -5740), (-166, 199, -45)]
[(-14353, 5880, -5753), (-177, 188, -43)]
[(-14353, 5880, -5753), (-177, 188, -43)]
[(-14353, 5880, -5753), (-177, 188, -43)]
[(-14353, 5880, -5753), (-177, 188, -43)]
[(-14381, 5861, -5752), (-154, 193, -49)]
[(-14381, 5861, -5752), (-154, 193, -49)]
[(-14381, 5861, -5752), (-154, 193, -49)]
[(-14381, 5861, -5752), (-154, 193, -49)]
[(-14381, 5861, -5752), (-154, 193, -49)]
[(-14381, 5861, -5752), (-154, 193, -49)]
[(-14381, 5861, -5752), (-154, 193, -49)]
[(-14400, 5874, -5761), (-139, 191, -1)]
[(-14400, 5874, -5761), (-139, 191, -1)]
[(-14400, 5874, -5761), (-139, 191, -1)]
[(-14400, 5874, -5761), (-139, 191, -1)]
[(-14400, 5874, -5761), (-139, 191, -1)]
[(-14400, 5874, -5761), (-139, 191, -1)]
[(-14386, 5851, -5725), (-82, 168, 19)]
[(-14386, 5851, -5725), (-82, 168, 19)]
[(-14386, 5851, -5725), (-82, 168, 19)]
[(-14386, 5851, -5725), (-82, 168, 19)]
[(-14386, 5851, -5725), (-82, 168, 19)]
[(-14368, 5857, -5749), (-114, 132, 38)]
[(-14368, 5857, -5749), (-114, 132, 38)]
[(-14368, 5857, -5749), (-114, 132, 38)]
