[(5632, 15078, 2553), (-121, 96, 24)]
[(5632, 15078, 2553), (-121, 96, 24)]
[(5600, 15085, 2548), (-96, 92, -18)]
[(5600, 15085, 2548), (-96, 92, -18)]
[(5600, 15085, 2548), (-96, 92, -18)]
[(5600, 15085, 2548), (-96, 92, -18)]
[(5592, 15048, 2556), (-94, 89, -11)]
[(5592, 15048, 2556), (-94, 89, -11)]
[(5592, 15048, 2556), (-94, 89, -11)]
[(5594, 15060, 2551), (-120, 85, -2)]
[(5594, 15060, 2551), (-120, 85, -2)]
[(5588, 15047, 2559), (-147, 55, 23)]
[(5588, 15047, 2559), (-147, 55, 23)]
[(5588, 15047, 2559), (-147, 55, 23)]
[(5588, 15047, 2559), (-147, 55, 23)]
[(5586, 15051, 2558), (-141, 44, 42)]
[(5586, 15051, 2558), (-141, 44, 42)]
[(5586, 15051, 2558), (-141, 44, 42)]
[(5586, 15051, 2558), (-141, 44, 42)]
[(5586, 15051, 2558), (-141, 44, 42)]
[(5595, 15052, 2515), (-93, 49, 61)]
[(5595, 15052, 2515), (-93, 49, 61)]
[(5595, 15052, 2515), (-93, 49, 61)]
[(5595, 15052, 2515), (-93, 49, 61)]
[(5599, 15064, 2500), (-24, 51, 60)]
[(5599, 15064, 2500), (-24, 51, 60)]
[(5599, 15064, 2500), (-24, 51, 60)]
[(5604, 15074, 2480), (46, 62, 50)]
[(5604, 15074, 2480), (46, 62, 50)]
[(5618, 15084, 2549), (-127, 36, -3)]
[(5618, 15084, 2549), (-127, 36, -3)]
[(5618, 15084, 2549), (-127, 36, -3)]
[(5618, 15084, 2549), (-127, 36, -3)]
[(5715, 15258, 2661), (152, -707, -23)]
[(5715, 15258, 2661), (152, -707, -23)]
[(5715, 15258, 2661), (152, -707, -23)]
[(5715, 15258, 2661), (152, -707, -23)]
[(5715, 15258, 2661), (152, -707, -23)]
[(5715, 15258, 2661), (152, -707, -23)]
[(5715, 15258, 2661), (152, -707, -23)]
[(5670, 15211, 2627), (20, -344, -109)]
[(5670, 15211, 2627), (20, -344, -109)]
[(5655, 15176, 2550), (60, 115, -99)]
[(5655, 15176, 2550), (60, 115, -99)]
[(5655, 15176, 2550), (60, 115, -99)]
[(5664, 15132, 2628), (274, 140, 15)]
[(5664, 15132, 2628), (274, 140, 15)]
