[(-15388, 1628, -5684), (-88, 472, 461)]
[(-15364, 1663, -5766), (61, 435, 281)]
[(-15364, 1663, -5766), (61, 435, 281)]
[(-15364, 1663, -5766), (61, 435, 281)]
[(-15364, 1663, -5766), (61, 435, 281)]
[(-15364, 1663, -5766), (61, 435, 281)]
[(-15364, 1663, -5766), (61, 435, 281)]
[(-15389, 1705, -5779), (113, 321, 294)]
[(-15389, 1705, -5779), (113, 321, 294)]
[(-15389, 1705, -5779), (113, 321, 294)]
[(-15389, 1705, -5779), (113, 321, 294)]
[(-15389, 1705, -5779), (113, 321, 294)]
[(-15389, 1705, -5779), (113, 321, 294)]
[(-15389, 1705, -5779), (113, 321, 294)]
[(-15364, 2183, -5795), (-258, 260, 667)]
[(-15364, 2183, -5795), (-258, 260, 667)]
[(-15364, 2183, -5795), (-258, 260, 667)]
[(-15364, 2183, -5795), (-258, 260, 667)]
[(-15364, 2183, -5795), (-258, 260, 667)]
[(-15318, 2141, -5781), (-143, 91, -61)]
[(-15318, 2141, -5781), (-143, 91, -61)]
[(-15318, 2141, -5781), (-143, 91, -61)]
[(-15318, 2141, -5781), (-143, 91, -61)]
[(-15318, 2141, -5781), (-143, 91, -61)]
[(-15318, 2141, -5781), (-143, 91, -61)]
