[(-15666, -1411, -4688), (-63, 127, 22)]
[(-15661, -1404, -4692), (-88, 154, 17)]
[(-15661, -1404, -4692), (-88, 154, 17)]
[(-15661, -1404, -4692), (-88, 154, 17)]
[(-15661, -1404, -4692), (-88, 154, 17)]
[(-15661, -1404, -4692), (-88, 154, 17)]
[(-15661, -1404, -4692), (-88, 154, 17)]
[(-15663, -1393, -4702), (-84, 181, 22)]
[(-15663, -1393, -4702), (-84, 181, 22)]
[(-15663, -1393, -4702), (-84, 181, 22)]
[(-15663, -1393, -4702), (-84, 181, 22)]
[(-15663, -1393, -4702), (-84, 181, 22)]
[(-15668, -1403, -4714), (-105, 191, 12)]
[(-15668, -1403, -4714), (-105, 191, 12)]
[(-15668, -1403, -4714), (-105, 191, 12)]
[(-15668, -1403, -4714), (-105, 191, 12)]
[(-15668, -1403, -4714), (-105, 191, 12)]
[(-15668, -1403, -4714), (-105, 191, 12)]
[(-15668, -1403, -4714), (-105, 191, 12)]
[(-15658, -1400, -4724), (-129, 191, 6)]
[(-15658, -1400, -4724), (-129, 191, 6)]
[(-15658, -1400, -4724), (-129, 191, 6)]
