[(-15655, -1384, -4780), (-118, 183, 5)]
[(-15646, -1384, -4751), (-89, 177, 15)]
[(-15646, -1384, -4751), (-89, 177, 15)]
[(-15646, -1384, -4751), (-89, 177, 15)]
[(-15646, -1384, -4751), (-89, 177, 15)]
[(-15646, -1384, -4751), (-89, 177, 15)]
[(-15646, -1384, -4751), (-89, 177, 15)]
[(-15646, -1384, -4751), (-89, 177, 15)]
[(-15621, -1396, -4739), (-48, 164, 39)]
[(-15621, -1396, -4739), (-48, 164, 39)]
[(-15621, -1396, -4739), (-48, 164, 39)]
[(-15621, -1396, -4739), (-48, 164, 39)]
[(-15621, -1396, -4739), (-48, 164, 39)]
[(-15605, -1412, -4770), (-15, 167, 28)]
[(-15605, -1412, -4770), (-15, 167, 28)]
[(-15605, -1412, -4770), (-15, 167, 28)]
[(-15605, -1412, -4770), (-15, 167, 28)]
[(-15605, -1412, -4770), (-15, 167, 28)]
[(-15605, -1412, -4770), (-15, 167, 28)]
[(-15626, -1424, -4762), (-29, 170, 6)]
[(-15626, -1424, -4762), (-29, 170, 6)]
[(-15626, -1424, -4762), (-29, 170, 6)]
[(-15626, -1424, -4762), (-29, 170, 6)]
[(-15626, -1424, -4762), (-29, 170, 6)]
[(-15626, -1424, -4762), (-29, 170, 6)]
[(-15626, -1424, -4762), (-29, 170, 6)]
[(-15648, -1434, -4768), (-39, 165, -4)]
[(-15648, -1434, -4768), (-39, 165, -4)]
[(-15648, -1434, -4768), (-39, 165, -4)]
[(-15648, -1434, -4768), (-39, 165, -4)]
[(-15648, -1434, -4768), (-39, 165, -4)]
[(-15640, -1456, -4792), (90, 249, -14)]
[(-15640, -1456, -4792), (90, 249, -14)]
[(-15640, -1456, -4792), (90, 249, -14)]
[(-15640, -1456, -4792), (90, 249, -14)]
[(-15640, -1456, -4792), (90, 249, -14)]
[(-15640, -1456, -4792), (90, 249, -14)]
[(-15675, -1463, -4780), (142, 179, -1)]
[(-15675, -1463, -4780), (142, 179, -1)]
[(-15675, -1463, -4780), (142, 179, -1)]
