[(-14483, 6643, -4161), (42, 43, 72)]
[(-14476, 6644, -4118), (14, 46, 59)]
[(-14486, 6623, -4102), (-6, 50, 42)]
[(-14486, 6623, -4102), (-6, 50, 42)]
[(-14486, 6623, -4102), (-6, 50, 42)]
[(-14486, 6623, -4102), (-6, 50, 42)]
[(-14486, 6623, -4102), (-6, 50, 42)]
[(-14486, 6623, -4102), (-6, 50, 42)]
[(-14471, 6646, -4083), (-47, 97, 14)]
[(-14471, 6646, -4083), (-47, 97, 14)]
[(-14471, 6646, -4083), (-47, 97, 14)]
[(-14471, 6646, -4083), (-47, 97, 14)]
[(-14471, 6646, -4083), (-47, 97, 14)]
[(-14471, 6646, -4083), (-47, 97, 14)]
[(-14471, 6646, -4083), (-47, 97, 14)]
[(-14476, 6628, -4093), (-86, 154, -2)]
[(-14476, 6628, -4093), (-86, 154, -2)]
[(-14476, 6628, -4093), (-86, 154, -2)]
[(-14476, 6628, -4093), (-86, 154, -2)]
[(-14476, 6628, -4093), (-86, 154, -2)]
[(-14511, 6666, -4071), (-115, 177, -19)]
[(-14511, 6666, -4071), (-115, 177, -19)]
[(-14511, 6666, -4071), (-115, 177, -19)]
[(-14511, 6666, -4071), (-115, 177, -19)]
[(-14511, 6666, -4071), (-115, 177, -19)]
[(-14511, 6666, -4071), (-115, 177, -19)]
[(-14493, 6671, -4068), (-145, 205, -23)]
[(-14493, 6671, -4068), (-145, 205, -23)]
[(-14493, 6671, -4068), (-145, 205, -23)]
[(-14493, 6671, -4068), (-145, 205, -23)]
[(-14493, 6671, -4068), (-145, 205, -23)]
[(-14493, 6671, -4068), (-145, 205, -23)]
[(-14493, 6671, -4068), (-145, 205, -23)]
[(-14486, 6633, -4110), (-332, 575, -160)]
[(-14486, 6633, -4110), (-332, 575, -160)]
[(-14486, 6633, -4110), (-332, 575, -160)]
[(-14486, 6633, -4110), (-332, 575, -160)]
[(-14486, 6633, -4110), (-332, 575, -160)]
[(-14492, 6592, -4172), (-404, 714, -209)]
[(-14492, 6592, -4172), (-404, 714, -209)]
[(-14492, 6592, -4172), (-404, 714, -209)]
[(-14492, 6592, -4172), (-404, 714, -209)]
[(-14492, 6592, -4172), (-404, 714, -209)]
[(-14492, 6592, -4172), (-404, 714, -209)]
[(-14500, 6588, -4184), (-371, 573, -166)]
[(-14500, 6588, -4184), (-371, 573, -166)]
[(-14500, 6588, -4184), (-371, 573, -166)]
[(-14500, 6588, -4184), (-371, 573, -166)]
[(-14500, 6588, -4184), (-371, 573, -166)]
[(-14500, 6588, -4184), (-371, 573, -166)]
[(-14500, 6588, -4184), (-371, 573, -166)]
[(-14508, 6570, -4202), (-288, 482, -134)]
[(-14508, 6570, -4202), (-288, 482, -134)]
[(-14508, 6570, -4202), (-288, 482, -134)]
[(-14508, 6570, -4202), (-288, 482, -134)]
[(-14508, 6570, -4202), (-288, 482, -134)]
[(-14499, 6571, -4187), (-246, 415, -103)]
[(-14499, 6571, -4187), (-246, 415, -103)]
[(-14499, 6571, -4187), (-246, 415, -103)]
[(-14499, 6571, -4187), (-246, 415, -103)]
[(-14499, 6571, -4187), (-246, 415, -103)]
[(-14499, 6571, -4187), (-246, 415, -103)]
[(-14508, 6547, -4204), (-175, 392, -81)]
[(-14508, 6547, -4204), (-175, 392, -81)]
[(-14508, 6547, -4204), (-175, 392, -81)]
[(-14508, 6547, -4204), (-175, 392, -81)]
[(-14508, 6547, -4204), (-175, 392, -81)]
[(-14496, 6497, -4276), (-53, 289, -52)]
[(-14496, 6497, -4276), (-53, 289, -52)]
[(-14496, 6497, -4276), (-53, 289, -52)]
[(-14496, 6497, -4276), (-53, 289, -52)]
[(-14496, 6497, -4276), (-53, 289, -52)]
[(-14496, 6497, -4276), (-53, 289, -52)]
[(-14496, 6497, -4276), (-53, 289, -52)]
[(-14500, 6520, -4329), (-29, 256, -21)]
[(-14500, 6520, -4329), (-29, 256, -21)]
[(-14500, 6520, -4329), (-29, 256, -21)]
[(-14500, 6520, -4329), (-29, 256, -21)]
[(-14500, 6520, -4329), (-29, 256, -21)]
[(-14500, 6520, -4329), (-29, 256, -21)]
[(-14496, 6505, -4382), (-68, 251, -3)]
[(-14496, 6505, -4382), (-68, 251, -3)]
[(-14496, 6505, -4382), (-68, 251, -3)]
[(-14496, 6505, -4382), (-68, 251, -3)]
[(-14496, 6505, -4382), (-68, 251, -3)]
[(-14494, 6511, -4361), (-80, 202, 6)]
[(-14494, 6511, -4361), (-80, 202, 6)]
[(-14494, 6511, -4361), (-80, 202, 6)]
[(-14494, 6511, -4361), (-80, 202, 6)]
[(-14494, 6511, -4361), (-80, 202, 6)]
