[(-14459, 6776, -4145), (95, 95, 62)]
[(-14466, 6771, -4139), (31, 134, 57)]
[(-14456, 6761, -4120), (-26, 199, 40)]
[(-14456, 6761, -4120), (-26, 199, 40)]
[(-14456, 6761, -4120), (-26, 199, 40)]
[(-14456, 6761, -4120), (-26, 199, 40)]
[(-14456, 6761, -4120), (-26, 199, 40)]
[(-14456, 6761, -4120), (-26, 199, 40)]
[(-14456, 6761, -4120), (-26, 199, 40)]
[(-14460, 6753, -4132), (-87, 202, 37)]
[(-14460, 6753, -4132), (-87, 202, 37)]
[(-14460, 6753, -4132), (-87, 202, 37)]
[(-14460, 6753, -4132), (-87, 202, 37)]
[(-14460, 6753, -4132), (-87, 202, 37)]
[(-14436, 6728, -4166), (-285, 474, -32)]
[(-14436, 6728, -4166), (-285, 474, -32)]
[(-14436, 6728, -4166), (-285, 474, -32)]
[(-14436, 6728, -4166), (-285, 474, -32)]
[(-14436, 6728, -4166), (-285, 474, -32)]
[(-14444, 6721, -4164), (-397, 712, -105)]
[(-14444, 6721, -4164), (-397, 712, -105)]
[(-14444, 6721, -4164), (-397, 712, -105)]
[(-14444, 6721, -4164), (-397, 712, -105)]
[(-14444, 6721, -4164), (-397, 712, -105)]
[(-14444, 6721, -4164), (-397, 712, -105)]
[(-14444, 6721, -4164), (-397, 712, -105)]
[(-14438, 6714, -4217), (-324, 528, -48)]
[(-14438, 6714, -4217), (-324, 528, -48)]
[(-14438, 6714, -4217), (-324, 528, -48)]
[(-14438, 6714, -4217), (-324, 528, -48)]
[(-14438, 6714, -4217), (-324, 528, -48)]
[(-14438, 6714, -4217), (-324, 528, -48)]
[(-14428, 6692, -4241), (-287, 483, -63)]
[(-14428, 6692, -4241), (-287, 483, -63)]
[(-14428, 6692, -4241), (-287, 483, -63)]
[(-14428, 6692, -4241), (-287, 483, -63)]
[(-14428, 6692, -4241), (-287, 483, -63)]
[(-14428, 6692, -4241), (-287, 483, -63)]
[(-14426, 6676, -4258), (-245, 422, -38)]
[(-14426, 6676, -4258), (-245, 422, -38)]
[(-14426, 6676, -4258), (-245, 422, -38)]
[(-14426, 6676, -4258), (-245, 422, -38)]
[(-14426, 6676, -4258), (-245, 422, -38)]
[(-14428, 6672, -4238), (-236, 408, -65)]
[(-14428, 6672, -4238), (-236, 408, -65)]
[(-14428, 6672, -4238), (-236, 408, -65)]
[(-14428, 6672, -4238), (-236, 408, -65)]
[(-14428, 6672, -4238), (-236, 408, -65)]
[(-14428, 6672, -4238), (-236, 408, -65)]
[(-14428, 6672, -4238), (-236, 408, -65)]
[(-14441, 6648, -4287), (-105, 330, -7)]
[(-14441, 6648, -4287), (-105, 330, -7)]
[(-14441, 6648, -4287), (-105, 330, -7)]
[(-14441, 6648, -4287), (-105, 330, -7)]
[(-14441, 6648, -4287), (-105, 330, -7)]
[(-14441, 6648, -4287), (-105, 330, -7)]
[(-14415, 6656, -4351), (-96, 316, 6)]
[(-14415, 6656, -4351), (-96, 316, 6)]
[(-14415, 6656, -4351), (-96, 316, 6)]
[(-14415, 6656, -4351), (-96, 316, 6)]
[(-14415, 6656, -4351), (-96, 316, 6)]
[(-14415, 6656, -4351), (-96, 316, 6)]
[(-14449, 6672, -4372), (-98, 268, 9)]
[(-14449, 6672, -4372), (-98, 268, 9)]
[(-14449, 6672, -4372), (-98, 268, 9)]
[(-14449, 6672, -4372), (-98, 268, 9)]
[(-14449, 6672, -4372), (-98, 268, 9)]
[(-14440, 6680, -4374), (-133, 267, 4)]
[(-14440, 6680, -4374), (-133, 267, 4)]
[(-14440, 6680, -4374), (-133, 267, 4)]
[(-14440, 6680, -4374), (-133, 267, 4)]
[(-14440, 6680, -4374), (-133, 267, 4)]
[(-14440, 6680, -4374), (-133, 267, 4)]
[(-14432, 6684, -4392), (-132, 238, 16)]
[(-14432, 6684, -4392), (-132, 238, 16)]
[(-14432, 6684, -4392), (-132, 238, 16)]
[(-14432, 6684, -4392), (-132, 238, 16)]
[(-14432, 6684, -4392), (-132, 238, 16)]
[(-14432, 6684, -4392), (-132, 238, 16)]
[(-14432, 6684, -4392), (-132, 238, 16)]
[(-14434, 6695, -4379), (-103, 217, 14)]
[(-14434, 6695, -4379), (-103, 217, 14)]
[(-14434, 6695, -4379), (-103, 217, 14)]
[(-14434, 6695, -4379), (-103, 217, 14)]
[(-14434, 6695, -4379), (-103, 217, 14)]
[(-14437, 6682, -4377), (-76, 206, 11)]
