[(-14421, 6813, -4204), (19, 82, 10)]
[(-14414, 6774, -4173), (-19, 90, -13)]
[(-14414, 6774, -4173), (-19, 90, -13)]
[(-14414, 6774, -4173), (-19, 90, -13)]
[(-14414, 6774, -4173), (-19, 90, -13)]
[(-14453, 6799, -4154), (-59, 132, -35)]
[(-14453, 6799, -4154), (-59, 132, -35)]
[(-14453, 6799, -4154), (-59, 132, -35)]
[(-14453, 6799, -4154), (-59, 132, -35)]
[(-14453, 6799, -4154), (-59, 132, -35)]
[(-14453, 6799, -4154), (-59, 132, -35)]
[(-14468, 6816, -4116), (-108, 164, -38)]
[(-14468, 6816, -4116), (-108, 164, -38)]
[(-14468, 6816, -4116), (-108, 164, -38)]
[(-14468, 6816, -4116), (-108, 164, -38)]
[(-14468, 6816, -4116), (-108, 164, -38)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14488, 6812, -4097), (-127, 176, -18)]
[(-14466, 6794, -4115), (-216, 257, -35)]
[(-14466, 6794, -4115), (-216, 257, -35)]
[(-14466, 6794, -4115), (-216, 257, -35)]
[(-14466, 6794, -4115), (-216, 257, -35)]
[(-14466, 6794, -4115), (-216, 257, -35)]
[(-14492, 6778, -4171), (-391, 488, -138)]
[(-14492, 6778, -4171), (-391, 488, -138)]
[(-14492, 6778, -4171), (-391, 488, -138)]
[(-14492, 6778, -4171), (-391, 488, -138)]
[(-14492, 6778, -4171), (-391, 488, -138)]
[(-14516, 6736, -4230), (-404, 549, -157)]
[(-14516, 6736, -4230), (-404, 549, -157)]
[(-14516, 6736, -4230), (-404, 549, -157)]
[(-14516, 6736, -4230), (-404, 549, -157)]
[(-14516, 6736, -4230), (-404, 549, -157)]
[(-14516, 6736, -4230), (-404, 549, -157)]
[(-14516, 6736, -4230), (-404, 549, -157)]
[(-14496, 6720, -4264), (-381, 557, -153)]
[(-14496, 6720, -4264), (-381, 557, -153)]
[(-14496, 6720, -4264), (-381, 557, -153)]
[(-14496, 6720, -4264), (-381, 557, -153)]
[(-14496, 6720, -4264), (-381, 557, -153)]
[(-14496, 6720, -4264), (-381, 557, -153)]
[(-14474, 6703, -4298), (-297, 371, -90)]
[(-14474, 6703, -4298), (-297, 371, -90)]
[(-14474, 6703, -4298), (-297, 371, -90)]
[(-14474, 6703, -4298), (-297, 371, -90)]
[(-14474, 6703, -4298), (-297, 371, -90)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14487, 6695, -4322), (-258, 305, -58)]
[(-14468, 6683, -4334), (-227, 295, -63)]
[(-14468, 6683, -4334), (-227, 295, -63)]
[(-14468, 6683, -4334), (-227, 295, -63)]
[(-14468, 6683, -4334), (-227, 295, -63)]
[(-14473, 6664, -4334), (-194, 295, -96)]
[(-14473, 6664, -4334), (-194, 295, -96)]
[(-14473, 6664, -4334), (-194, 295, -96)]
[(-14473, 6664, -4334), (-194, 295, -96)]
[(-14473, 6664, -4334), (-194, 295, -96)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14493, 6605, -4378), (-4, 256, -10)]
[(-14476, 6614, -4488), (34, 253, 25)]
[(-14476, 6614, -4488), (34, 253, 25)]
[(-14476, 6614, -4488), (34, 253, 25)]
[(-14476, 6614, -4488), (34, 253, 25)]
[(-14472, 6599, -4525), (-20, 233, 14)]
[(-14472, 6599, -4525), (-20, 233, 14)]
[(-14472, 6599, -4525), (-20, 233, 14)]
[(-14472, 6599, -4525), (-20, 233, 14)]
[(-14472, 6599, -4525), (-20, 233, 14)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14453, 6583, -4540), (-70, 209, 20)]
[(-14439, 6568, -4564), (-82, 184, 27)]
[(-14439, 6568, -4564), (-82, 184, 27)]
[(-14439, 6568, -4564), (-82, 184, 27)]
[(-14439, 6568, -4564), (-82, 184, 27)]
[(-14439, 6568, -4564), (-82, 184, 27)]
[(-14420, 6600, -4529), (-80, 158, 29)]
[(-14420, 6600, -4529), (-80, 158, 29)]
