[(-14949, 3844, -5798), (-91, 185, 0)]
[(-14975, 3826, -5792), (-137, 161, -65)]
[(-14975, 3826, -5792), (-137, 161, -65)]
[(-14968, 3792, -5820), (-181, 120, -93)]
[(-14968, 3792, -5820), (-181, 120, -93)]
[(-14968, 3792, -5820), (-181, 120, -93)]
[(-14968, 3792, -5820), (-181, 120, -93)]
[(-14968, 3792, -5820), (-181, 120, -93)]
[(-14968, 3792, -5820), (-181, 120, -93)]
[(-14980, 3780, -5832), (-451, 394, -69)]
[(-14980, 3780, -5832), (-451, 394, -69)]
[(-14980, 3780, -5832), (-451, 394, -69)]
[(-14980, 3780, -5832), (-451, 394, -69)]
[(-14980, 3780, -5832), (-451, 394, -69)]
[(-14980, 3780, -5832), (-451, 394, -69)]
[(-14980, 3780, -5832), (-451, 394, -69)]
[(-15024, 3684, -5905), (-286, 152, -20)]
[(-15024, 3684, -5905), (-286, 152, -20)]
[(-15024, 3684, -5905), (-286, 152, -20)]
[(-15024, 3684, -5905), (-286, 152, -20)]
[(-15024, 3684, -5905), (-286, 152, -20)]
[(-15018, 3702, -5863), (-400, 155, 0)]
[(-15018, 3702, -5863), (-400, 155, 0)]
[(-15018, 3702, -5863), (-400, 155, 0)]
[(-15018, 3702, -5863), (-400, 155, 0)]
[(-15018, 3702, -5863), (-400, 155, 0)]
[(-15018, 3702, -5863), (-400, 155, 0)]
[(-14992, 3744, -5861), (-229, 97, -14)]
[(-14992, 3744, -5861), (-229, 97, -14)]
[(-14992, 3744, -5861), (-229, 97, -14)]
[(-14992, 3744, -5861), (-229, 97, -14)]
[(-14992, 3744, -5861), (-229, 97, -14)]
[(-14992, 3744, -5861), (-229, 97, -14)]
[(-14992, 3744, -5861), (-229, 97, -14)]
[(-14997, 3752, -5871), (-230, 113, 4)]
[(-14997, 3752, -5871), (-230, 113, 4)]
[(-14997, 3752, -5871), (-230, 113, 4)]
[(-14997, 3752, -5871), (-230, 113, 4)]
[(-14997, 3752, -5871), (-230, 113, 4)]
[(-14997, 3752, -5871), (-230, 113, 4)]
[(-14995, 3777, -5838), (-201, 96, 16)]
[(-14995, 3777, -5838), (-201, 96, 16)]
[(-14995, 3777, -5838), (-201, 96, 16)]
[(-14995, 3777, -5838), (-201, 96, 16)]
[(-14996, 3756, -5846), (-157, 114, 45)]
[(-14996, 3756, -5846), (-157, 114, 45)]
[(-14996, 3756, -5846), (-157, 114, 45)]
[(-14996, 3756, -5846), (-157, 114, 45)]
[(-14996, 3756, -5846), (-157, 114, 45)]
[(-14996, 3756, -5846), (-157, 114, 45)]
[(-14996, 3756, -5846), (-157, 114, 45)]
[(-14999, 3768, -5855), (-138, 105, 73)]
[(-14999, 3768, -5855), (-138, 105, 73)]
[(-14999, 3768, -5855), (-138, 105, 73)]
[(-14999, 3768, -5855), (-138, 105, 73)]
[(-14999, 3768, -5855), (-138, 105, 73)]
[(-15024, 3796, -5843), (-174, 104, 82)]
[(-15024, 3796, -5843), (-174, 104, 82)]
[(-15024, 3796, -5843), (-174, 104, 82)]
[(-15024, 3796, -5843), (-174, 104, 82)]
[(-15024, 3796, -5843), (-174, 104, 82)]
[(-15024, 3796, -5843), (-174, 104, 82)]
[(-15040, 3822, -5804), (-171, 117, 81)]
[(-15040, 3822, -5804), (-171, 117, 81)]
