[(-14811, 3848, -6406), (-362, 275, -145)]
[(-14857, 3786, -6400), (-406, 351, -132)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14843, 3791, -6418), (-371, 302, -121)]
[(-14847, 3774, -6440), (-243, 354, -92)]
[(-14847, 3774, -6440), (-243, 354, -92)]
[(-14847, 3774, -6440), (-243, 354, -92)]
[(-14847, 3774, -6440), (-243, 354, -92)]
[(-14847, 3774, -6440), (-243, 354, -92)]
[(-14877, 3814, -6420), (-227, 364, -89)]
[(-14877, 3814, -6420), (-227, 364, -89)]
[(-14877, 3814, -6420), (-227, 364, -89)]
[(-14877, 3814, -6420), (-227, 364, -89)]
[(-14877, 3814, -6420), (-227, 364, -89)]
[(-14877, 3814, -6420), (-227, 364, -89)]
[(-14879, 3803, -6391), (-276, 380, -102)]
[(-14879, 3803, -6391), (-276, 380, -102)]
[(-14879, 3803, -6391), (-276, 380, -102)]
[(-14879, 3803, -6391), (-276, 380, -102)]
[(-14879, 3803, -6391), (-276, 380, -102)]
[(-14842, 3801, -6444), (-292, 320, -87)]
[(-14842, 3801, -6444), (-292, 320, -87)]
[(-14842, 3801, -6444), (-292, 320, -87)]
[(-14842, 3801, -6444), (-292, 320, -87)]
[(-14842, 3801, -6444), (-292, 320, -87)]
[(-14842, 3801, -6444), (-292, 320, -87)]
[(-14842, 3801, -6444), (-292, 320, -87)]
[(-14829, 3790, -6456), (-262, 306, -89)]
[(-14829, 3790, -6456), (-262, 306, -89)]
[(-14829, 3790, -6456), (-262, 306, -89)]
[(-14829, 3790, -6456), (-262, 306, -89)]
[(-14829, 3790, -6456), (-262, 306, -89)]
[(-14829, 3790, -6456), (-262, 306, -89)]
[(-14860, 3761, -6435), (-95, 300, -90)]
[(-14860, 3761, -6435), (-95, 300, -90)]
[(-14860, 3761, -6435), (-95, 300, -90)]
[(-14860, 3761, -6435), (-95, 300, -90)]
[(-14860, 3761, -6435), (-95, 300, -90)]
