[(-14512, 5684, -5584), (45, 195, 33)]
[(-14481, 5674, -5647), (-82, 250, 78)]
[(-14481, 5674, -5647), (-82, 250, 78)]
[(-14481, 5674, -5647), (-82, 250, 78)]
[(-14481, 5674, -5647), (-82, 250, 78)]
[(-14481, 5674, -5647), (-82, 250, 78)]
[(-14481, 5674, -5647), (-82, 250, 78)]
[(-14481, 5674, -5647), (-82, 250, 78)]
[(-14481, 5682, -5670), (-76, 251, 68)]
[(-14481, 5682, -5670), (-76, 251, 68)]
[(-14481, 5682, -5670), (-76, 251, 68)]
[(-14481, 5682, -5670), (-76, 251, 68)]
[(-14481, 5682, -5670), (-76, 251, 68)]
[(-14463, 5709, -5712), (-93, 240, 55)]
[(-14463, 5709, -5712), (-93, 240, 55)]
[(-14463, 5709, -5712), (-93, 240, 55)]
[(-14463, 5709, -5712), (-93, 240, 55)]
[(-14463, 5709, -5712), (-93, 240, 55)]
[(-14463, 5709, -5712), (-93, 240, 55)]
[(-14448, 5706, -5716), (-194, 222, 54)]
[(-14448, 5706, -5716), (-194, 222, 54)]
[(-14448, 5706, -5716), (-194, 222, 54)]
[(-14448, 5706, -5716), (-194, 222, 54)]
[(-14448, 5706, -5716), (-194, 222, 54)]
[(-14448, 5706, -5716), (-194, 222, 54)]
[(-14448, 5706, -5716), (-194, 222, 54)]
[(-14454, 5736, -5710), (-254, 220, 52)]
[(-14454, 5736, -5710), (-254, 220, 52)]
[(-14454, 5736, -5710), (-254, 220, 52)]
[(-14454, 5736, -5710), (-254, 220, 52)]
[(-14454, 5736, -5710), (-254, 220, 52)]
[(-14438, 5772, -5680), (-539, 298, 51)]
[(-14438, 5772, -5680), (-539, 298, 51)]
[(-14438, 5772, -5680), (-539, 298, 51)]
[(-14438, 5772, -5680), (-539, 298, 51)]
[(-14438, 5772, -5680), (-539, 298, 51)]
[(-14438, 5772, -5680), (-539, 298, 51)]
[(-14440, 5782, -5665), (-691, 298, 28)]
[(-14440, 5782, -5665), (-691, 298, 28)]
[(-14440, 5782, -5665), (-691, 298, 28)]
[(-14440, 5782, -5665), (-691, 298, 28)]
[(-14440, 5782, -5665), (-691, 298, 28)]
[(-14440, 5782, -5665), (-691, 298, 28)]
[(-14440, 5782, -5665), (-691, 298, 28)]
[(-14408, 5793, -5629), (-757, 310, 47)]
[(-14408, 5793, -5629), (-757, 310, 47)]
[(-14408, 5793, -5629), (-757, 310, 47)]
[(-14408, 5793, -5629), (-757, 310, 47)]
[(-14408, 5793, -5629), (-757, 310, 47)]
[(-14408, 5830, -5632), (-837, 376, 72)]
[(-14408, 5830, -5632), (-837, 376, 72)]
[(-14408, 5830, -5632), (-837, 376, 72)]
[(-14408, 5830, -5632), (-837, 376, 72)]
[(-14408, 5830, -5632), (-837, 376, 72)]
[(-14408, 5830, -5632), (-837, 376, 72)]
[(-14392, 5882, -5624), (-705, 337, 47)]
[(-14392, 5882, -5624), (-705, 337, 47)]
[(-14392, 5882, -5624), (-705, 337, 47)]
[(-14392, 5882, -5624), (-705, 337, 47)]
[(-14392, 5882, -5624), (-705, 337, 47)]
[(-14392, 5882, -5624), (-705, 337, 47)]
[(-14390, 5902, -5598), (-516, 284, 21)]
[(-14390, 5902, -5598), (-516, 284, 21)]
[(-14390, 5902, -5598), (-516, 284, 21)]
[(-14390, 5902, -5598), (-516, 284, 21)]
[(-14390, 5902, -5598), (-516, 284, 21)]
[(-14405, 5910, -5574), (-393, 252, 9)]
[(-14405, 5910, -5574), (-393, 252, 9)]
[(-14405, 5910, -5574), (-393, 252, 9)]
[(-14405, 5910, -5574), (-393, 252, 9)]
[(-14405, 5910, -5574), (-393, 252, 9)]
[(-14405, 5910, -5574), (-393, 252, 9)]
[(-14411, 5925, -5536), (-323, 215, 18)]
[(-14411, 5925, -5536), (-323, 215, 18)]
[(-14411, 5925, -5536), (-323, 215, 18)]
[(-14411, 5925, -5536), (-323, 215, 18)]
[(-14411, 5925, -5536), (-323, 215, 18)]
[(-14411, 5925, -5536), (-323, 215, 18)]
[(-14411, 5925, -5536), (-323, 215, 18)]
[(-14427, 5925, -5536), (-143, 171, -1)]
[(-14427, 5925, -5536), (-143, 171, -1)]
[(-14427, 5925, -5536), (-143, 171, -1)]
[(-14427, 5925, -5536), (-143, 171, -1)]
