[(-14340, 5898, -5777), (-121, 104, 56)]
[(-14344, 5932, -5738), (-151, 137, 15)]
[(-14344, 5932, -5738), (-151, 137, 15)]
[(-14344, 5932, -5738), (-151, 137, 15)]
[(-14344, 5932, -5738), (-151, 137, 15)]
[(-14344, 5932, -5738), (-151, 137, 15)]
[(-14336, 5937, -5747), (-233, 160, -2)]
[(-14336, 5937, -5747), (-233, 160, -2)]
[(-14336, 5937, -5747), (-233, 160, -2)]
[(-14336, 5937, -5747), (-233, 160, -2)]
[(-14336, 5937, -5747), (-233, 160, -2)]
[(-14336, 5937, -5747), (-233, 160, -2)]
[(-14336, 5937, -5747), (-233, 160, -2)]
[(-14327, 5935, -5720), (-333, 202, 0)]
[(-14327, 5935, -5720), (-333, 202, 0)]
[(-14327, 5935, -5720), (-333, 202, 0)]
[(-14327, 5935, -5720), (-333, 202, 0)]
[(-14327, 5935, -5720), (-333, 202, 0)]
[(-14327, 5935, -5720), (-333, 202, 0)]
[(-14318, 5954, -5739), (-547, 265, 0)]
[(-14318, 5954, -5739), (-547, 265, 0)]
[(-14318, 5954, -5739), (-547, 265, 0)]
[(-14318, 5954, -5739), (-547, 265, 0)]
[(-14318, 5954, -5739), (-547, 265, 0)]
[(-14348, 5968, -5706), (-724, 285, -16)]
[(-14348, 5968, -5706), (-724, 285, -16)]
[(-14348, 5968, -5706), (-724, 285, -16)]
[(-14348, 5968, -5706), (-724, 285, -16)]
[(-14348, 5968, -5706), (-724, 285, -16)]
[(-14348, 5968, -5706), (-724, 285, -16)]
[(-14348, 5968, -5706), (-724, 285, -16)]
[(-14328, 6008, -5689), (-840, 308, 15)]
[(-14328, 6008, -5689), (-840, 308, 15)]
[(-14328, 6008, -5689), (-840, 308, 15)]
[(-14328, 6008, -5689), (-840, 308, 15)]
[(-14328, 6008, -5689), (-840, 308, 15)]
[(-14328, 6008, -5689), (-840, 308, 15)]
[(-14331, 6058, -5689), (-841, 300, 30)]
[(-14331, 6058, -5689), (-841, 300, 30)]
[(-14331, 6058, -5689), (-841, 300, 30)]
[(-14331, 6058, -5689), (-841, 300, 30)]
[(-14331, 6058, -5689), (-841, 300, 30)]
[(-14298, 6096, -5668), (-802, 334, 17)]
[(-14298, 6096, -5668), (-802, 334, 17)]
[(-14298, 6096, -5668), (-802, 334, 17)]
[(-14298, 6096, -5668), (-802, 334, 17)]
[(-14298, 6096, -5668), (-802, 334, 17)]
[(-14298, 6096, -5668), (-802, 334, 17)]
[(-14285, 6116, -5673), (-570, 243, -37)]
[(-14285, 6116, -5673), (-570, 243, -37)]
[(-14285, 6116, -5673), (-570, 243, -37)]
[(-14285, 6116, -5673), (-570, 243, -37)]
[(-14285, 6116, -5673), (-570, 243, -37)]
[(-14291, 6121, -5632), (-273, 138, -85)]
[(-14291, 6121, -5632), (-273, 138, -85)]
[(-14291, 6121, -5632), (-273, 138, -85)]
[(-14291, 6121, -5632), (-273, 138, -85)]
[(-14291, 6121, -5632), (-273, 138, -85)]
[(-14320, 6108, -5625), (81, 12, -91)]
[(-14320, 6108, -5625), (81, 12, -91)]
[(-14320, 6108, -5625), (81, 12, -91)]
[(-14320, 6108, -5625), (81, 12, -91)]
[(-14320, 6108, -5625), (81, 12, -91)]
[(-14320, 6108, -5625), (81, 12, -91)]
[(-14355, 6047, -5633), (135, 16, -93)]
[(-14355, 6047, -5633), (135, 16, -93)]
[(-14355, 6047, -5633), (135, 16, -93)]
[(-14355, 6047, -5633), (135, 16, -93)]
[(-14355, 6047, -5633), (135, 16, -93)]
[(-14355, 6047, -5633), (135, 16, -93)]
[(-14355, 6047, -5633), (135, 16, -93)]
[(-14384, 6012, -5619), (167, 43, -98)]
[(-14384, 6012, -5619), (167, 43, -98)]
