[(-14772, 4870, -5429), (117, 232, 166)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14766, 4892, -5511), (80, 253, 113)]
[(-14747, 4932, -5540), (-43, 307, 58)]
[(-14747, 4932, -5540), (-43, 307, 58)]
[(-14747, 4932, -5540), (-43, 307, 58)]
[(-14747, 4932, -5540), (-43, 307, 58)]
[(-14747, 4932, -5540), (-43, 307, 58)]
[(-14750, 4941, -5636), (-255, 337, -23)]
[(-14750, 4941, -5636), (-255, 337, -23)]
[(-14750, 4941, -5636), (-255, 337, -23)]
[(-14750, 4941, -5636), (-255, 337, -23)]
[(-14750, 4941, -5636), (-255, 337, -23)]
[(-14738, 4931, -5623), (-651, 433, -83)]
[(-14738, 4931, -5623), (-651, 433, -83)]
[(-14738, 4931, -5623), (-651, 433, -83)]
[(-14738, 4931, -5623), (-651, 433, -83)]
[(-14738, 4931, -5623), (-651, 433, -83)]
[(-14738, 4931, -5623), (-651, 433, -83)]
[(-14738, 4931, -5623), (-651, 433, -83)]
[(-14712, 4934, -5652), (-807, 401, -84)]
[(-14712, 4934, -5652), (-807, 401, -84)]
[(-14712, 4934, -5652), (-807, 401, -84)]
[(-14712, 4934, -5652), (-807, 401, -84)]
[(-14712, 4934, -5652), (-807, 401, -84)]
[(-14712, 4934, -5652), (-807, 401, -84)]
[(-14711, 4956, -5622), (-910, 420, -65)]
[(-14711, 4956, -5622), (-910, 420, -65)]
[(-14711, 4956, -5622), (-910, 420, -65)]
[(-14711, 4956, -5622), (-910, 420, -65)]
[(-14711, 4956, -5622), (-910, 420, -65)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14724, 4969, -5570), (-785, 307, -41)]
[(-14716, 5003, -5533), (-721, 267, -28)]
[(-14716, 5003, -5533), (-721, 267, -28)]
[(-14716, 5003, -5533), (-721, 267, -28)]
[(-14716, 5003, -5533), (-721, 267, -28)]
[(-14716, 5003, -5533), (-721, 267, -28)]
[(-14719, 4988, -5505), (-656, 239, 21)]
[(-14719, 4988, -5505), (-656, 239, 21)]
[(-14719, 4988, -5505), (-656, 239, 21)]
[(-14719, 4988, -5505), (-656, 239, 21)]
[(-14700, 5039, -5512), (-455, 226, 69)]
[(-14700, 5039, -5512), (-455, 226, 69)]
[(-14700, 5039, -5512), (-455, 226, 69)]
[(-14700, 5039, -5512), (-455, 226, 69)]
[(-14700, 5039, -5512), (-455, 226, 69)]
[(-14700, 5039, -5512), (-455, 226, 69)]
[(-14727, 5021, -5484), (-229, 87, 34)]
[(-14727, 5021, -5484), (-229, 87, 34)]
[(-14727, 5021, -5484), (-229, 87, 34)]
[(-14727, 5021, -5484), (-229, 87, 34)]
[(-14727, 5021, -5484), (-229, 87, 34)]
[(-14727, 5021, -5484), (-229, 87, 34)]
[(-14727, 5021, -5484), (-229, 87, 34)]
[(-14742, 5006, -5478), (5, 62, 15)]
[(-14742, 5006, -5478), (5, 62, 15)]
[(-14742, 5006, -5478), (5, 62, 15)]
[(-14742, 5006, -5478), (5, 62, 15)]
[(-14742, 5006, -5478), (5, 62, 15)]
[(-14742, 5006, -5478), (5, 62, 15)]
[(-14756, 4996, -5501), (36, 59, 25)]
[(-14756, 4996, -5501), (36, 59, 25)]
[(-14756, 4996, -5501), (36, 59, 25)]
[(-14756, 4996, -5501), (36, 59, 25)]
[(-14756, 4996, -5501), (36, 59, 25)]
[(-14758, 5003, -5460), (63, 81, 29)]
