[(-14957, 2339, -7011), (-53, 228, -2)]
[(-14971, 2334, -7002), (-63, 221, -5)]
[(-14971, 2334, -7002), (-63, 221, -5)]
[(-14971, 2334, -7002), (-63, 221, -5)]
[(-14956, 2326, -6981), (-84, 223, 27)]
[(-14956, 2326, -6981), (-84, 223, 27)]
[(-14956, 2326, -6981), (-84, 223, 27)]
[(-14956, 2326, -6981), (-84, 223, 27)]
[(-14956, 2326, -6981), (-84, 223, 27)]
[(-14921, 2324, -6969), (-102, 223, 27)]
[(-14921, 2324, -6969), (-102, 223, 27)]
[(-14921, 2324, -6969), (-102, 223, 27)]
[(-14921, 2324, -6969), (-102, 223, 27)]
[(-14921, 2324, -6969), (-102, 223, 27)]
[(-14921, 2324, -6969), (-102, 223, 27)]
[(-14921, 2324, -6969), (-102, 223, 27)]
[(-14948, 2315, -6968), (-88, 222, 12)]
[(-14948, 2315, -6968), (-88, 222, 12)]
[(-14948, 2315, -6968), (-88, 222, 12)]
[(-14948, 2315, -6968), (-88, 222, 12)]
[(-14948, 2315, -6968), (-88, 222, 12)]
[(-14948, 2315, -6968), (-88, 222, 12)]
[(-14965, 2320, -7031), (-147, 267, 2)]
[(-14965, 2320, -7031), (-147, 267, 2)]
[(-14965, 2320, -7031), (-147, 267, 2)]
[(-14965, 2320, -7031), (-147, 267, 2)]
[(-14965, 2320, -7031), (-147, 267, 2)]
[(-14964, 2324, -7065), (-41, 296, 32)]
[(-14964, 2324, -7065), (-41, 296, 32)]
[(-14964, 2324, -7065), (-41, 296, 32)]
[(-14964, 2324, -7065), (-41, 296, 32)]
[(-14964, 2324, -7065), (-41, 296, 32)]
[(-14964, 2324, -7065), (-41, 296, 32)]
[(-14950, 2331, -7062), (115, 256, 63)]
[(-14950, 2331, -7062), (115, 256, 63)]
[(-14950, 2331, -7062), (115, 256, 63)]
[(-14950, 2331, -7062), (115, 256, 63)]
[(-14950, 2331, -7062), (115, 256, 63)]
[(-14950, 2331, -7062), (115, 256, 63)]
[(-14950, 2331, -7062), (115, 256, 63)]
[(-14960, 2349, -7040), (246, 288, 100)]
[(-14960, 2349, -7040), (246, 288, 100)]
[(-14960, 2349, -7040), (246, 288, 100)]
[(-14960, 2349, -7040), (246, 288, 100)]
[(-14960, 2349, -7040), (246, 288, 100)]
[(-14920, 2345, -6966), (237, 267, 104)]
[(-14920, 2345, -6966), (237, 267, 104)]
[(-14920, 2345, -6966), (237, 267, 104)]
[(-14920, 2345, -6966), (237, 267, 104)]
[(-14920, 2345, -6966), (237, 267, 104)]
[(-14920, 2345, -6966), (237, 267, 104)]
[(-14925, 2324, -7027), (113, 187, 107)]
[(-14925, 2324, -7027), (113, 187, 107)]
[(-14925, 2324, -7027), (113, 187, 107)]
[(-14925, 2324, -7027), (113, 187, 107)]
[(-14925, 2324, -7027), (113, 187, 107)]
[(-14925, 2324, -7027), (113, 187, 107)]
[(-14925, 2324, -7027), (113, 187, 107)]
[(-14927, 2324, -7003), (7, 185, 76)]
[(-14927, 2324, -7003), (7, 185, 76)]
[(-14927, 2324, -7003), (7, 185, 76)]
[(-14927, 2324, -7003), (7, 185, 76)]
[(-14927, 2324, -7003), (7, 185, 76)]
[(-14956, 2352, -7124), (-320, 348, -14)]
[(-14956, 2352, -7124), (-320, 348, -14)]
[(-14956, 2352, -7124), (-320, 348, -14)]
[(-14956, 2352, -7124), (-320, 348, -14)]
[(-14956, 2352, -7124), (-320, 348, -14)]
[(-14956, 2352, -7124), (-320, 348, -14)]
[(-14950, 2399, -7195), (-548, 437, -91)]
[(-14950, 2399, -7195), (-548, 437, -91)]
[(-14950, 2399, -7195), (-548, 437, -91)]
[(-14950, 2399, -7195), (-548, 437, -91)]
[(-14950, 2399, -7195), (-548, 437, -91)]
[(-14950, 2399, -7195), (-548, 437, -91)]
[(-14950, 2399, -7195), (-548, 437, -91)]
[(-14925, 2360, -7180), (-591, 535, -96)]
[(-14925, 2360, -7180), (-591, 535, -96)]
[(-14925, 2360, -7180), (-591, 535, -96)]
[(-14925, 2360, -7180), (-591, 535, -96)]
[(-14925, 2360, -7180), (-591, 535, -96)]
[(-14926, 2352, -7082), (-490, 521, -89)]
[(-14926, 2352, -7082), (-490, 521, -89)]
[(-14926, 2352, -7082), (-490, 521, -89)]
[(-14926, 2352, -7082), (-490, 521, -89)]
[(-14926, 2352, -7082), (-490, 521, -89)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14887, 2359, -7088), (-374, 479, -54)]
[(-14890, 2364, -7139), (-410, 451, -53)]
[(-14890, 2364, -7139), (-410, 451, -53)]
[(-14890, 2364, -7139), (-410, 451, -53)]
[(-14890, 2364, -7139), (-410, 451, -53)]
[(-14890, 2364, -7139), (-410, 451, -53)]
[(-14866, 2385, -7150), (-401, 427, -39)]
[(-14866, 2385, -7150), (-401, 427, -39)]
[(-14866, 2385, -7150), (-401, 427, -39)]
[(-14866, 2385, -7150), (-401, 427, -39)]
[(-14866, 2385, -7150), (-401, 427, -39)]
[(-14866, 2385, -7150), (-401, 427, -39)]
[(-14852, 2394, -7168), (-323, 400, -5)]
[(-14852, 2394, -7168), (-323, 400, -5)]
[(-14852, 2394, -7168), (-323, 400, -5)]
[(-14852, 2394, -7168), (-323, 400, -5)]
[(-14852, 2394, -7168), (-323, 400, -5)]
[(-14840, 2416, -7188), (-269, 366, -3)]
[(-14840, 2416, -7188), (-269, 366, -3)]
[(-14840, 2416, -7188), (-269, 366, -3)]
[(-14840, 2416, -7188), (-269, 366, -3)]
[(-14840, 2416, -7188), (-269, 366, -3)]
[(-14861, 2408, -7191), (-261, 298, -7)]
[(-14861, 2408, -7191), (-261, 298, -7)]
[(-14861, 2408, -7191), (-261, 298, -7)]
[(-14861, 2408, -7191), (-261, 298, -7)]
[(-14861, 2408, -7191), (-261, 298, -7)]
[(-14861, 2408, -7191), (-261, 298, -7)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
[(-14881, 2428, -7176), (-218, 275, -4)]
