[(-14906, 2291, -7024), (594, 87, 216)]
[(-14903, 2282, -6994), (598, 173, 169)]
[(-14903, 2282, -6994), (598, 173, 169)]
[(-14903, 2282, -6994), (598, 173, 169)]
[(-14921, 2289, -7015), (467, 175, 144)]
[(-14921, 2289, -7015), (467, 175, 144)]
[(-14921, 2289, -7015), (467, 175, 144)]
[(-14921, 2289, -7015), (467, 175, 144)]
[(-14921, 2289, -7015), (467, 175, 144)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14926, 2273, -7020), (294, 180, 111)]
[(-14922, 2268, -6944), (8, 283, 32)]
[(-14922, 2268, -6944), (8, 283, 32)]
[(-14922, 2268, -6944), (8, 283, 32)]
[(-14922, 2268, -6944), (8, 283, 32)]
[(-14922, 2268, -6944), (8, 283, 32)]
[(-14924, 2304, -6911), (-269, 636, -149)]
[(-14924, 2304, -6911), (-269, 636, -149)]
[(-14924, 2304, -6911), (-269, 636, -149)]
[(-14924, 2304, -6911), (-269, 636, -149)]
[(-14924, 2304, -6911), (-269, 636, -149)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14928, 2288, -6958), (-77, 647, -115)]
[(-14896, 2284, -7016), (-102, 562, -112)]
[(-14896, 2284, -7016), (-102, 562, -112)]
[(-14896, 2284, -7016), (-102, 562, -112)]
[(-14896, 2284, -7016), (-102, 562, -112)]
[(-14896, 2284, -7016), (-102, 562, -112)]
[(-14882, 2300, -7076), (-128, 459, -67)]
[(-14882, 2300, -7076), (-128, 459, -67)]
[(-14882, 2300, -7076), (-128, 459, -67)]
[(-14882, 2300, -7076), (-128, 459, -67)]
[(-14882, 2300, -7076), (-128, 459, -67)]
[(-14882, 2300, -7076), (-128, 459, -67)]
[(-14876, 2270, -7128), (-88, 334, -42)]
[(-14876, 2270, -7128), (-88, 334, -42)]
[(-14876, 2270, -7128), (-88, 334, -42)]
[(-14876, 2270, -7128), (-88, 334, -42)]
[(-14876, 2270, -7128), (-88, 334, -42)]
[(-14876, 2270, -7128), (-88, 334, -42)]
[(-14876, 2270, -7128), (-88, 334, -42)]
[(-14874, 2336, -7131), (-133, 355, -35)]
[(-14874, 2336, -7131), (-133, 355, -35)]
[(-14874, 2336, -7131), (-133, 355, -35)]
[(-14874, 2336, -7131), (-133, 355, -35)]
[(-14874, 2336, -7131), (-133, 355, -35)]
[(-14887, 2280, -7135), (11, 412, -3)]
[(-14887, 2280, -7135), (11, 412, -3)]
[(-14887, 2280, -7135), (11, 412, -3)]
[(-14887, 2280, -7135), (11, 412, -3)]
[(-14887, 2280, -7135), (11, 412, -3)]
[(-14887, 2280, -7135), (11, 412, -3)]
[(-14871, 2304, -7218), (92, 423, 47)]
[(-14871, 2304, -7218), (92, 423, 47)]
[(-14871, 2304, -7218), (92, 423, 47)]
[(-14871, 2304, -7218), (92, 423, 47)]
[(-14871, 2304, -7218), (92, 423, 47)]
[(-14871, 2304, -7218), (92, 423, 47)]
[(-14871, 2304, -7218), (92, 423, 47)]
[(-14852, 2290, -7276), (-50, 356, 19)]
[(-14852, 2290, -7276), (-50, 356, 19)]
[(-14852, 2290, -7276), (-50, 356, 19)]
[(-14852, 2290, -7276), (-50, 356, 19)]
[(-14852, 2290, -7276), (-50, 356, 19)]
[(-14837, 2314, -7249), (-93, 287, 30)]
[(-14837, 2314, -7249), (-93, 287, 30)]
[(-14837, 2314, -7249), (-93, 287, 30)]
[(-14837, 2314, -7249), (-93, 287, 30)]
[(-14837, 2314, -7249), (-93, 287, 30)]
[(-14837, 2314, -7249), (-93, 287, 30)]
[(-14858, 2324, -7220), (-70, 301, 13)]
[(-14858, 2324, -7220), (-70, 301, 13)]
[(-14858, 2324, -7220), (-70, 301, 13)]
[(-14858, 2324, -7220), (-70, 301, 13)]
[(-14858, 2324, -7220), (-70, 301, 13)]
[(-14844, 2340, -7262), (-58, 373, -14)]
[(-14844, 2340, -7262), (-58, 373, -14)]
[(-14844, 2340, -7262), (-58, 373, -14)]
[(-14844, 2340, -7262), (-58, 373, -14)]
[(-14844, 2340, -7262), (-58, 373, -14)]
[(-14864, 2382, -7266), (48, 348, 1)]
[(-14864, 2382, -7266), (48, 348, 1)]
[(-14864, 2382, -7266), (48, 348, 1)]
[(-14864, 2382, -7266), (48, 348, 1)]
[(-14864, 2382, -7266), (48, 348, 1)]
[(-14864, 2382, -7266), (48, 348, 1)]
[(-14827, 2404, -7256), (-38, 303, -3)]
[(-14827, 2404, -7256), (-38, 303, -3)]
[(-14827, 2404, -7256), (-38, 303, -3)]
[(-14827, 2404, -7256), (-38, 303, -3)]
[(-14827, 2404, -7256), (-38, 303, -3)]
[(-14827, 2404, -7256), (-38, 303, -3)]
[(-14827, 2404, -7256), (-38, 303, -3)]
[(-14820, 2415, -7248), (-43, 217, -5)]
[(-14820, 2415, -7248), (-43, 217, -5)]
