[(-14932, 2364, -7029), (-14, 252, 28)]
[(-14923, 2342, -7055), (-50, 250, 14)]
[(-14923, 2342, -7055), (-50, 250, 14)]
[(-14923, 2342, -7055), (-50, 250, 14)]
[(-14913, 2357, -7057), (-83, 242, 22)]
[(-14913, 2357, -7057), (-83, 242, 22)]
[(-14913, 2357, -7057), (-83, 242, 22)]
[(-14913, 2357, -7057), (-83, 242, 22)]
[(-14913, 2357, -7057), (-83, 242, 22)]
[(-14913, 2357, -7057), (-83, 242, 22)]
[(-14889, 2372, -7052), (-70, 257, 20)]
[(-14889, 2372, -7052), (-70, 257, 20)]
[(-14889, 2372, -7052), (-70, 257, 20)]
[(-14889, 2372, -7052), (-70, 257, 20)]
[(-14889, 2372, -7052), (-70, 257, 20)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14899, 2372, -7088), (20, 268, 17)]
[(-14937, 2381, -7001), (501, 330, 110)]
[(-14937, 2381, -7001), (501, 330, 110)]
[(-14937, 2381, -7001), (501, 330, 110)]
[(-14937, 2381, -7001), (501, 330, 110)]
[(-14937, 2381, -7001), (501, 330, 110)]
[(-14969, 2402, -6976), (585, 228, 124)]
[(-14969, 2402, -6976), (585, 228, 124)]
[(-14969, 2402, -6976), (585, 228, 124)]
[(-14969, 2402, -6976), (585, 228, 124)]
[(-14969, 2402, -6976), (585, 228, 124)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14964, 2354, -7023), (419, 170, 126)]
[(-14957, 2374, -7004), (261, 158, 117)]
[(-14957, 2374, -7004), (261, 158, 117)]
[(-14957, 2374, -7004), (261, 158, 117)]
[(-14957, 2374, -7004), (261, 158, 117)]
[(-14957, 2374, -7004), (261, 158, 117)]
[(-14939, 2367, -7147), (-293, 340, -31)]
[(-14939, 2367, -7147), (-293, 340, -31)]
[(-14939, 2367, -7147), (-293, 340, -31)]
[(-14939, 2367, -7147), (-293, 340, -31)]
