[(-15318, 2827, -5368), (-130, 151, 60)]
[(-15286, 2816, -5392), (-131, 163, 53)]
[(-15286, 2816, -5392), (-131, 163, 53)]
[(-15293, 2840, -5372), (-124, 183, 41)]
[(-15293, 2840, -5372), (-124, 183, 41)]
[(-15293, 2840, -5372), (-124, 183, 41)]
[(-15293, 2840, -5372), (-124, 183, 41)]
[(-15293, 2840, -5372), (-124, 183, 41)]
[(-15293, 2840, -5372), (-124, 183, 41)]
[(-15293, 2840, -5372), (-124, 183, 41)]
[(-15300, 2836, -5358), (-142, 189, 42)]
[(-15300, 2836, -5358), (-142, 189, 42)]
[(-15300, 2836, -5358), (-142, 189, 42)]
[(-15300, 2836, -5358), (-142, 189, 42)]
[(-15300, 2836, -5358), (-142, 189, 42)]
[(-15300, 2836, -5358), (-142, 189, 42)]
[(-15320, 2843, -5365), (-138, 192, 47)]
[(-15320, 2843, -5365), (-138, 192, 47)]
[(-15320, 2843, -5365), (-138, 192, 47)]
[(-15320, 2843, -5365), (-138, 192, 47)]
[(-15320, 2843, -5365), (-138, 192, 47)]
[(-15324, 2852, -5350), (-131, 206, 44)]
[(-15324, 2852, -5350), (-131, 206, 44)]
[(-15324, 2852, -5350), (-131, 206, 44)]
[(-15324, 2852, -5350), (-131, 206, 44)]
[(-15324, 2852, -5350), (-131, 206, 44)]
[(-15324, 2852, -5350), (-131, 206, 44)]
[(-15324, 2852, -5350), (-131, 206, 44)]
[(-15315, 2836, -5356), (-126, 199, 44)]
[(-15315, 2836, -5356), (-126, 199, 44)]
[(-15315, 2836, -5356), (-126, 199, 44)]
[(-15315, 2836, -5356), (-126, 199, 44)]
[(-15315, 2836, -5356), (-126, 199, 44)]
[(-15315, 2836, -5356), (-126, 199, 44)]
[(-15290, 2827, -5357), (-128, 197, 42)]
[(-15290, 2827, -5357), (-128, 197, 42)]
[(-15290, 2827, -5357), (-128, 197, 42)]
[(-15290, 2827, -5357), (-128, 197, 42)]
[(-15290, 2827, -5357), (-128, 197, 42)]
[(-15284, 2827, -5372), (-130, 197, 51)]
[(-15284, 2827, -5372), (-130, 197, 51)]
[(-15284, 2827, -5372), (-130, 197, 51)]
[(-15284, 2827, -5372), (-130, 197, 51)]
[(-15284, 2827, -5372), (-130, 197, 51)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15311, 2821, -5373), (-148, 209, 61)]
[(-15302, 2822, -5377), (-129, 225, 51)]
[(-15302, 2822, -5377), (-129, 225, 51)]
[(-15302, 2822, -5377), (-129, 225, 51)]
[(-15302, 2822, -5377), (-129, 225, 51)]
[(-15290, 2828, -5371), (-119, 216, 46)]
[(-15290, 2828, -5371), (-119, 216, 46)]
[(-15290, 2828, -5371), (-119, 216, 46)]
[(-15290, 2828, -5371), (-119, 216, 46)]
[(-15290, 2828, -5371), (-119, 216, 46)]
[(-15290, 2828, -5371), (-119, 216, 46)]
[(-15290, 2828, -5371), (-119, 216, 46)]
[(-15297, 2826, -5374), (-137, 215, 45)]
[(-15297, 2826, -5374), (-137, 215, 45)]
[(-15297, 2826, -5374), (-137, 215, 45)]
[(-15297, 2826, -5374), (-137, 215, 45)]
[(-15297, 2826, -5374), (-137, 215, 45)]
[(-15297, 2826, -5374), (-137, 215, 45)]
[(-15273, 2825, -5374), (-115, 222, 51)]
[(-15273, 2825, -5374), (-115, 222, 51)]
[(-15273, 2825, -5374), (-115, 222, 51)]
[(-15273, 2825, -5374), (-115, 222, 51)]
[(-15273, 2825, -5374), (-115, 222, 51)]
[(-15273, 2825, -5374), (-115, 222, 51)]
[(-15273, 2825, -5374), (-115, 222, 51)]
[(-15269, 2817, -5416), (-103, 206, 39)]
[(-15269, 2817, -5416), (-103, 206, 39)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15285, 2809, -5403), (-113, 171, 30)]
[(-15293, 2816, -5373), (-122, 168, 49)]
[(-15293, 2816, -5373), (-122, 168, 49)]
[(-15293, 2816, -5373), (-122, 168, 49)]
[(-15293, 2816, -5373), (-122, 168, 49)]
[(-15293, 2816, -5373), (-122, 168, 49)]
[(-15296, 2854, -5357), (-85, 172, 45)]
[(-15296, 2854, -5357), (-85, 172, 45)]
[(-15296, 2854, -5357), (-85, 172, 45)]
[(-15296, 2854, -5357), (-85, 172, 45)]
[(-15296, 2854, -5357), (-85, 172, 45)]
[(-15298, 2864, -5377), (-79, 174, 43)]
[(-15298, 2864, -5377), (-79, 174, 43)]
[(-15298, 2864, -5377), (-79, 174, 43)]
[(-15298, 2864, -5377), (-79, 174, 43)]
[(-15298, 2864, -5377), (-79, 174, 43)]
[(-15298, 2864, -5377), (-79, 174, 43)]
