[(-14816, 6615, -1355), (69, 190, -23)]
[(-14816, 6615, -1355), (69, 190, -23)]
[(-14816, 6615, -1355), (69, 190, -23)]
[(-14816, 6615, -1355), (69, 190, -23)]
[(-14816, 6615, -1355), (69, 190, -23)]
[(-14828, 6585, -1357), (2, 145, -15)]
[(-14828, 6585, -1357), (2, 145, -15)]
[(-14828, 6585, -1357), (2, 145, -15)]
[(-14828, 6585, -1357), (2, 145, -15)]
[(-14828, 6585, -1357), (2, 145, -15)]
[(-14813, 6587, -1342), (-49, 68, 12)]
[(-14813, 6587, -1342), (-49, 68, 12)]
[(-14813, 6587, -1342), (-49, 68, 12)]
[(-14813, 6587, -1342), (-49, 68, 12)]
[(-14813, 6587, -1342), (-49, 68, 12)]
