[(-15815, -1428, -3506), (-247, 260, -1)]
[(-15815, -1428, -3506), (-247, 260, -1)]
[(-15815, -1428, -3506), (-247, 260, -1)]
[(-15815, -1428, -3506), (-247, 260, -1)]
[(-15815, -1428, -3506), (-247, 260, -1)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15792, -1412, -3492), (-599, 316, -58)]
[(-15819, -1436, -3542), (-655, 355, -52)]
[(-15819, -1436, -3542), (-655, 355, -52)]
