[(-15832, -1715, -3588), (127, 76, 25)]
[(-15832, -1715, -3588), (127, 76, 25)]
[(-15832, -1715, -3588), (127, 76, 25)]
[(-15832, -1715, -3588), (127, 76, 25)]
[(-15810, -1673, -3657), (231, 191, 30)]
[(-15810, -1673, -3657), (231, 191, 30)]
[(-15810, -1673, -3657), (231, 191, 30)]
[(-15810, -1673, -3657), (231, 191, 30)]
[(-15810, -1673, -3657), (231, 191, 30)]
[(-15810, -1673, -3657), (231, 191, 30)]
[(-15820, -1714, -3604), (82, 89, -5)]
[(-15820, -1714, -3604), (82, 89, -5)]
[(-15820, -1714, -3604), (82, 89, -5)]
[(-15820, -1714, -3604), (82, 89, -5)]
[(-15820, -1714, -3604), (82, 89, -5)]
[(-15820, -1714, -3604), (82, 89, -5)]
[(-15797, -1684, -3576), (60, 134, -20)]
[(-15797, -1684, -3576), (60, 134, -20)]
[(-15797, -1684, -3576), (60, 134, -20)]
[(-15797, -1684, -3576), (60, 134, -20)]
[(-15797, -1684, -3576), (60, 134, -20)]
[(-15797, -1684, -3576), (60, 134, -20)]
[(-15797, -1684, -3576), (60, 134, -20)]
[(-15806, -1684, -3580), (-9, 158, 4)]
[(-15806, -1684, -3580), (-9, 158, 4)]
[(-15806, -1684, -3580), (-9, 158, 4)]
[(-15806, -1684, -3580), (-9, 158, 4)]
[(-15806, -1684, -3580), (-9, 158, 4)]
[(-15803, -1688, -3584), (-60, 202, -3)]
