[(-15947, -926, -3369), (-257, 185, -65)]
[(-15947, -926, -3369), (-257, 185, -65)]
[(-15940, -977, -3335), (-208, 103, -61)]
[(-15940, -977, -3335), (-208, 103, -61)]
[(-15940, -977, -3335), (-208, 103, -61)]
[(-15940, -977, -3335), (-208, 103, -61)]
[(-15940, -977, -3335), (-208, 103, -61)]
[(-15944, -976, -3250), (-165, 105, -89)]
[(-15944, -976, -3250), (-165, 105, -89)]
[(-15944, -976, -3250), (-165, 105, -89)]
[(-15944, -976, -3250), (-165, 105, -89)]
[(-15944, -976, -3250), (-165, 105, -89)]
[(-15920, -1009, -3276), (-123, 192, -44)]
[(-15920, -1009, -3276), (-123, 192, -44)]
[(-15920, -1009, -3276), (-123, 192, -44)]
[(-15920, -1009, -3276), (-123, 192, -44)]
[(-15920, -1009, -3276), (-123, 192, -44)]
[(-15914, -1088, -3232), (-212, 268, -13)]
[(-15914, -1088, -3232), (-212, 268, -13)]
[(-15914, -1088, -3232), (-212, 268, -13)]
[(-15914, -1088, -3232), (-212, 268, -13)]
[(-15914, -1088, -3232), (-212, 268, -13)]
[(-15914, -1088, -3232), (-212, 268, -13)]
[(-15914, -1088, -3232), (-212, 268, -13)]
[(-15930, -1151, -3215), (0, 196, -137)]
[(-15930, -1151, -3215), (0, 196, -137)]
[(-15930, -1151, -3215), (0, 196, -137)]
[(-15930, -1151, -3215), (0, 196, -137)]
[(-15930, -1151, -3215), (0, 196, -137)]
[(-15930, -1151, -3215), (0, 196, -137)]
[(-15960, -1136, -3244), (-26, 227, -29)]
[(-15960, -1136, -3244), (-26, 227, -29)]
[(-15960, -1136, -3244), (-26, 227, -29)]
[(-15960, -1136, -3244), (-26, 227, -29)]
[(-15960, -1136, -3244), (-26, 227, -29)]
[(-15918, -1156, -3236), (-101, 159, 22)]
