[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15529, -2905, -4124), (-159, 19, 38)]
[(-15530, -2931, -4090), (-152, -13, 43)]
[(-15530, -2931, -4090), (-152, -13, 43)]
[(-15530, -2931, -4090), (-152, -13, 43)]
[(-15530, -2931, -4090), (-152, -13, 43)]
