[(-15521, -3024, -4032), (-46, 56, 12)]
[(-15497, -2988, -3984), (-68, 6, 25)]
[(-15497, -2988, -3984), (-68, 6, 25)]
[(-15497, -2988, -3984), (-68, 6, 25)]
[(-15497, -2988, -3984), (-68, 6, 25)]
[(-15497, -2988, -3984), (-68, 6, 25)]
[(-15497, -2988, -3984), (-68, 6, 25)]
[(-15497, -2988, -3984), (-68, 6, 25)]
[(-15524, -2992, -3988), (-55, 43, 3)]
[(-15524, -2992, -3988), (-55, 43, 3)]
[(-15524, -2992, -3988), (-55, 43, 3)]
[(-15524, -2992, -3988), (-55, 43, 3)]
[(-15524, -2992, -3988), (-55, 43, 3)]
[(-15524, -2992, -3988), (-55, 43, 3)]
[(-15559, -2988, -3959), (26, 98, 3)]
[(-15559, -2988, -3959), (26, 98, 3)]
[(-15559, -2988, -3959), (26, 98, 3)]
[(-15559, -2988, -3959), (26, 98, 3)]
[(-15559, -2988, -3959), (26, 98, 3)]
[(-15572, -2990, -4035), (92, 164, -27)]
[(-15572, -2990, -4035), (92, 164, -27)]
[(-15572, -2990, -4035), (92, 164, -27)]
[(-15572, -2990, -4035), (92, 164, -27)]
[(-15572, -2990, -4035), (92, 164, -27)]
[(-15572, -2990, -4035), (92, 164, -27)]
[(-15572, -2990, -4035), (92, 164, -27)]
[(-15563, -3023, -4016), (-34, 147, -10)]
[(-15563, -3023, -4016), (-34, 147, -10)]
[(-15563, -3023, -4016), (-34, 147, -10)]
[(-15563, -3023, -4016), (-34, 147, -10)]
[(-15563, -3023, -4016), (-34, 147, -10)]
[(-15563, -3023, -4016), (-34, 147, -10)]
[(-15546, -3043, -4026), (-155, 119, -8)]
[(-15546, -3043, -4026), (-155, 119, -8)]
[(-15546, -3043, -4026), (-155, 119, -8)]
[(-15546, -3043, -4026), (-155, 119, -8)]
[(-15546, -3043, -4026), (-155, 119, -8)]
[(-15542, -3025, -3979), (-322, 61, 7)]
[(-15542, -3025, -3979), (-322, 61, 7)]
[(-15542, -3025, -3979), (-322, 61, 7)]
[(-15542, -3025, -3979), (-322, 61, 7)]
[(-15542, -3025, -3979), (-322, 61, 7)]
[(-15542, -3025, -3979), (-322, 61, 7)]
[(-15542, -3025, -3979), (-322, 61, 7)]
[(-15568, -3024, -3952), (-323, 48, 40)]
[(-15568, -3024, -3952), (-323, 48, 40)]
[(-15568, -3024, -3952), (-323, 48, 40)]
[(-15568, -3024, -3952), (-323, 48, 40)]
[(-15568, -3024, -3952), (-323, 48, 40)]
[(-15568, -3024, -3952), (-323, 48, 40)]
[(-15595, -3030, -3944), (-446, 114, 41)]
[(-15595, -3030, -3944), (-446, 114, 41)]
