[(-14846, 3563, -6556), (-12, 175, -159)]
[(-14824, 3553, -6441), (-101, 19, -17)]
[(-14824, 3553, -6441), (-101, 19, -17)]
[(-14824, 3553, -6441), (-101, 19, -17)]
[(-14824, 3553, -6441), (-101, 19, -17)]
[(-14824, 3553, -6441), (-101, 19, -17)]
[(-14848, 3540, -6410), (-296, 302, -97)]
[(-14848, 3540, -6410), (-296, 302, -97)]
[(-14848, 3540, -6410), (-296, 302, -97)]
[(-14848, 3540, -6410), (-296, 302, -97)]
[(-14848, 3540, -6410), (-296, 302, -97)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14870, 3558, -6442), (-249, 369, -61)]
[(-14852, 3563, -6411), (-163, 416, -36)]
[(-14852, 3563, -6411), (-163, 416, -36)]
[(-14852, 3563, -6411), (-163, 416, -36)]
[(-14852, 3563, -6411), (-163, 416, -36)]
[(-14853, 3521, -6415), (31, 291, -11)]
[(-14853, 3521, -6415), (31, 291, -11)]
[(-14853, 3521, -6415), (31, 291, -11)]
[(-14853, 3521, -6415), (31, 291, -11)]
[(-14853, 3521, -6415), (31, 291, -11)]
[(-14851, 3499, -6501), (79, 351, 38)]
[(-14851, 3499, -6501), (79, 351, 38)]
[(-14851, 3499, -6501), (79, 351, 38)]
[(-14851, 3499, -6501), (79, 351, 38)]
[(-14851, 3499, -6501), (79, 351, 38)]
[(-14851, 3499, -6501), (79, 351, 38)]
[(-14851, 3499, -6501), (79, 351, 38)]
[(-14850, 3493, -6555), (36, 354, 63)]
[(-14850, 3493, -6555), (36, 354, 63)]
[(-14850, 3493, -6555), (36, 354, 63)]
[(-14850, 3493, -6555), (36, 354, 63)]
[(-14857, 3483, -6618), (100, 218, 132)]
[(-14857, 3483, -6618), (100, 218, 132)]
[(-14857, 3483, -6618), (100, 218, 132)]
[(-14857, 3483, -6618), (100, 218, 132)]
[(-14857, 3483, -6618), (100, 218, 132)]
[(-14830, 3484, -6611), (4, 245, 130)]
[(-14830, 3484, -6611), (4, 245, 130)]
[(-14830, 3484, -6611), (4, 245, 130)]
[(-14830, 3484, -6611), (4, 245, 130)]
[(-14830, 3484, -6611), (4, 245, 130)]
[(-14830, 3484, -6611), (4, 245, 130)]
[(-14835, 3540, -6604), (-119, 268, 120)]
[(-14835, 3540, -6604), (-119, 268, 120)]
[(-14835, 3540, -6604), (-119, 268, 120)]
[(-14835, 3540, -6604), (-119, 268, 120)]
[(-14835, 3540, -6604), (-119, 268, 120)]
[(-14835, 3540, -6604), (-119, 268, 120)]
[(-14835, 3540, -6604), (-119, 268, 120)]
[(-14820, 3524, -6612), (-56, 242, 126)]
[(-14820, 3524, -6612), (-56, 242, 126)]
[(-14820, 3524, -6612), (-56, 242, 126)]
