[(-14428, 4826, -6722), (-134, 254, 29)]
[(-14442, 4847, -6732), (-121, 289, 14)]
[(-14442, 4847, -6732), (-121, 289, 14)]
[(-14442, 4847, -6732), (-121, 289, 14)]
[(-14442, 4847, -6732), (-121, 289, 14)]
[(-14444, 4852, -6742), (-136, 288, -4)]
[(-14444, 4852, -6742), (-136, 288, -4)]
[(-14444, 4852, -6742), (-136, 288, -4)]
[(-14444, 4852, -6742), (-136, 288, -4)]
[(-14444, 4852, -6742), (-136, 288, -4)]
[(-14439, 4840, -6742), (-126, 300, -13)]
[(-14439, 4840, -6742), (-126, 300, -13)]
[(-14439, 4840, -6742), (-126, 300, -13)]
[(-14439, 4840, -6742), (-126, 300, -13)]
[(-14439, 4840, -6742), (-126, 300, -13)]
[(-14439, 4840, -6742), (-126, 300, -13)]
[(-14444, 4815, -6760), (-96, 248, 4)]
[(-14444, 4815, -6760), (-96, 248, 4)]
[(-14444, 4815, -6760), (-96, 248, 4)]
[(-14444, 4815, -6760), (-96, 248, 4)]
[(-14444, 4815, -6760), (-96, 248, 4)]
[(-14444, 4815, -6760), (-96, 248, 4)]
[(-14444, 4815, -6760), (-96, 248, 4)]
[(-14436, 4808, -6745), (-101, 221, -16)]
[(-14436, 4808, -6745), (-101, 221, -16)]
[(-14436, 4808, -6745), (-101, 221, -16)]
[(-14436, 4808, -6745), (-101, 221, -16)]
[(-14436, 4808, -6745), (-101, 221, -16)]
[(-14431, 4792, -6723), (-49, 209, 15)]
[(-14431, 4792, -6723), (-49, 209, 15)]
[(-14431, 4792, -6723), (-49, 209, 15)]
[(-14431, 4792, -6723), (-49, 209, 15)]
[(-14431, 4792, -6723), (-49, 209, 15)]
[(-14431, 4792, -6723), (-49, 209, 15)]
[(-14486, 4789, -6692), (53, 328, 81)]
[(-14486, 4789, -6692), (53, 328, 81)]
[(-14486, 4789, -6692), (53, 328, 81)]
[(-14486, 4789, -6692), (53, 328, 81)]
[(-14486, 4789, -6692), (53, 328, 81)]
[(-14486, 4789, -6692), (53, 328, 81)]
[(-14486, 4789, -6692), (53, 328, 81)]
[(-14483, 4793, -6750), (73, 357, 110)]
[(-14483, 4793, -6750), (73, 357, 110)]
[(-14483, 4793, -6750), (73, 357, 110)]
[(-14483, 4793, -6750), (73, 357, 110)]
[(-14483, 4793, -6750), (73, 357, 110)]
[(-14470, 4807, -6805), (-25, 355, 94)]
[(-14470, 4807, -6805), (-25, 355, 94)]
[(-14470, 4807, -6805), (-25, 355, 94)]
[(-14470, 4807, -6805), (-25, 355, 94)]
[(-14470, 4807, -6805), (-25, 355, 94)]
[(-14470, 4807, -6805), (-25, 355, 94)]
[(-14451, 4826, -6800), (-256, 447, 44)]
[(-14451, 4826, -6800), (-256, 447, 44)]
[(-14451, 4826, -6800), (-256, 447, 44)]
[(-14451, 4826, -6800), (-256, 447, 44)]
[(-14451, 4826, -6800), (-256, 447, 44)]
[(-14451, 4826, -6800), (-256, 447, 44)]
[(-14451, 4826, -6800), (-256, 447, 44)]
[(-14432, 4865, -6862), (-419, 710, 12)]
[(-14432, 4865, -6862), (-419, 710, 12)]
[(-14432, 4865, -6862), (-419, 710, 12)]
[(-14432, 4865, -6862), (-419, 710, 12)]
[(-14432, 4865, -6862), (-419, 710, 12)]
[(-14429, 4888, -6936), (-403, 739, 2)]
[(-14429, 4888, -6936), (-403, 739, 2)]
[(-14429, 4888, -6936), (-403, 739, 2)]
[(-14429, 4888, -6936), (-403, 739, 2)]
[(-14429, 4888, -6936), (-403, 739, 2)]
[(-14429, 4888, -6936), (-403, 739, 2)]
[(-14394, 4889, -6977), (-441, 677, 4)]
[(-14394, 4889, -6977), (-441, 677, 4)]
[(-14394, 4889, -6977), (-441, 677, 4)]
[(-14394, 4889, -6977), (-441, 677, 4)]
[(-14394, 4889, -6977), (-441, 677, 4)]
[(-14381, 4925, -7004), (-386, 526, 4)]
[(-14381, 4925, -7004), (-386, 526, 4)]
[(-14381, 4925, -7004), (-386, 526, 4)]
[(-14381, 4925, -7004), (-386, 526, 4)]
[(-14381, 4925, -7004), (-386, 526, 4)]
[(-14381, 4925, -7004), (-386, 526, 4)]
[(-14381, 4925, -7004), (-386, 526, 4)]
[(-14360, 4930, -7036), (-315, 424, -12)]
[(-14360, 4930, -7036), (-315, 424, -12)]
[(-14360, 4930, -7036), (-315, 424, -12)]
[(-14360, 4930, -7036), (-315, 424, -12)]
[(-14360, 4930, -7036), (-315, 424, -12)]
[(-14360, 4930, -7036), (-315, 424, -12)]
[(-14336, 4916, -7034), (-276, 395, -15)]
[(-14336, 4916, -7034), (-276, 395, -15)]
[(-14336, 4916, -7034), (-276, 395, -15)]
[(-14336, 4916, -7034), (-276, 395, -15)]
[(-14328, 4918, -7034), (-245, 321, 8)]
[(-14328, 4918, -7034), (-245, 321, 8)]
[(-14328, 4918, -7034), (-245, 321, 8)]
[(-14328, 4918, -7034), (-245, 321, 8)]
[(-14328, 4918, -7034), (-245, 321, 8)]
[(-14328, 4918, -7034), (-245, 321, 8)]
[(-14328, 4918, -7034), (-245, 321, 8)]
[(-14315, 4915, -7003), (-176, 257, 22)]
[(-14315, 4915, -7003), (-176, 257, 22)]
[(-14315, 4915, -7003), (-176, 257, 22)]
[(-14315, 4915, -7003), (-176, 257, 22)]
[(-14315, 4915, -7003), (-176, 257, 22)]
[(-14315, 4915, -7003), (-176, 257, 22)]
[(-14306, 4915, -7001), (-89, 122, 71)]
[(-14306, 4915, -7001), (-89, 122, 71)]
[(-14306, 4915, -7001), (-89, 122, 71)]
[(-14306, 4915, -7001), (-89, 122, 71)]
[(-14306, 4915, -7001), (-89, 122, 71)]
[(-14329, 4878, -6940), (0, 67, 70)]
[(-14329, 4878, -6940), (0, 67, 70)]
