[(-14275, 5798, -6116), (-253, 221, -48)]
[(-14282, 5772, -6144), (-227, 202, -56)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14305, 5755, -6164), (-202, 199, -57)]
[(-14325, 5768, -6215), (-320, 223, -96)]
[(-14325, 5768, -6215), (-320, 223, -96)]
[(-14325, 5768, -6215), (-320, 223, -96)]
[(-14325, 5768, -6215), (-320, 223, -96)]
[(-14325, 5768, -6215), (-320, 223, -96)]
[(-14248, 5832, -5939), (-312, 451, -114)]
[(-14248, 5832, -5939), (-312, 451, -114)]
[(-14248, 5832, -5939), (-312, 451, -114)]
[(-14248, 5832, -5939), (-312, 451, -114)]
[(-14248, 5832, -5939), (-312, 451, -114)]
[(-14248, 5832, -5939), (-312, 451, -114)]
[(-14256, 5788, -6034), (-467, 524, -169)]
[(-14256, 5788, -6034), (-467, 524, -169)]
[(-14256, 5788, -6034), (-467, 524, -169)]
[(-14256, 5788, -6034), (-467, 524, -169)]
[(-14256, 5788, -6034), (-467, 524, -169)]
[(-14256, 5788, -6034), (-467, 524, -169)]
[(-14256, 5788, -6034), (-467, 524, -169)]
[(-14250, 5745, -6066), (-314, 340, -126)]
[(-14250, 5745, -6066), (-314, 340, -126)]
[(-14250, 5745, -6066), (-314, 340, -126)]
[(-14250, 5745, -6066), (-314, 340, -126)]
[(-14250, 5745, -6066), (-314, 340, -126)]
[(-14284, 5700, -6196), (58, -34, -19)]
[(-14284, 5700, -6196), (58, -34, -19)]
[(-14284, 5700, -6196), (58, -34, -19)]
[(-14284, 5700, -6196), (58, -34, -19)]
[(-14284, 5700, -6196), (58, -34, -19)]
[(-14304, 5724, -6225), (195, -138, 97)]
[(-14304, 5724, -6225), (195, -138, 97)]
[(-14304, 5724, -6225), (195, -138, 97)]
[(-14304, 5724, -6225), (195, -138, 97)]
[(-14304, 5724, -6225), (195, -138, 97)]
[(-14304, 5724, -6225), (195, -138, 97)]
[(-14278, 5741, -6237), (101, -86, 141)]
[(-14278, 5741, -6237), (101, -86, 141)]
[(-14278, 5741, -6237), (101, -86, 141)]
[(-14278, 5741, -6237), (101, -86, 141)]
[(-14278, 5741, -6237), (101, -86, 141)]
[(-14300, 5746, -6220), (112, -83, 106)]
[(-14300, 5746, -6220), (112, -83, 106)]
[(-14300, 5746, -6220), (112, -83, 106)]
[(-14300, 5746, -6220), (112, -83, 106)]
[(-14300, 5746, -6220), (112, -83, 106)]
[(-14300, 5746, -6220), (112, -83, 106)]
[(-14321, 5752, -6188), (125, -32, 74)]
[(-14321, 5752, -6188), (125, -32, 74)]
[(-14321, 5752, -6188), (125, -32, 74)]
[(-14321, 5752, -6188), (125, -32, 74)]
[(-14321, 5752, -6188), (125, -32, 74)]
[(-14356, 5721, -6211), (142, -30, 45)]
[(-14356, 5721, -6211), (142, -30, 45)]
